	movie_emb_id	title	genre
0	0	Toy Story (1995)	Animation|Children's|Comedy
1	1	Jumanji (1995)	Adventure|Children's|Fantasy
2	2	Grumpier Old Men (1995)	Comedy|Romance
3	3	Waiting to Exhale (1995)	Comedy|Drama
4	4	Father of the Bride Part II (1995)	Comedy
5	5	Heat (1995)	Action|Crime|Thriller
6	6	Sabrina (1995)	Comedy|Romance
7	7	Tom and Huck (1995)	Adventure|Children's
8	8	Sudden Death (1995)	Action
9	9	GoldenEye (1995)	Action|Adventure|Thriller
10	10	American President, The (1995)	Comedy|Drama|Romance
11	11	Dracula: Dead and Loving It (1995)	Comedy|Horror
12	12	Balto (1995)	Animation|Children's
13	13	Nixon (1995)	Drama
14	14	Cutthroat Island (1995)	Action|Adventure|Romance
15	15	Casino (1995)	Drama|Thriller
16	16	Sense and Sensibility (1995)	Drama|Romance
17	17	Four Rooms (1995)	Thriller
18	18	Ace Ventura: When Nature Calls (1995)	Comedy
19	19	Money Train (1995)	Action
20	20	Get Shorty (1995)	Action|Comedy|Drama
21	21	Copycat (1995)	Crime|Drama|Thriller
22	22	Assassins (1995)	Thriller
23	23	Powder (1995)	Drama|Sci-Fi
24	24	Leaving Las Vegas (1995)	Drama|Romance
25	25	Othello (1995)	Drama
26	26	Now and Then (1995)	Drama
27	27	Persuasion (1995)	Romance
28	28	City of Lost Children, The (1995)	Adventure|Sci-Fi
29	29	Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	Drama
30	30	Dangerous Minds (1995)	Drama
31	31	Twelve Monkeys (1995)	Drama|Sci-Fi
32	32	Wings of Courage (1995)	Adventure|Romance
33	33	Babe (1995)	Children's|Comedy|Drama
34	34	Carrington (1995)	Drama|Romance
35	35	Dead Man Walking (1995)	Drama
36	36	Across the Sea of Time (1995)	Documentary
37	37	It Takes Two (1995)	Comedy
38	38	Clueless (1995)	Comedy|Romance
39	39	Cry, the Beloved Country (1995)	Drama
40	40	Richard III (1995)	Drama|War
41	41	Dead Presidents (1995)	Action|Crime|Drama
42	42	Restoration (1995)	Drama
43	43	Mortal Kombat (1995)	Action|Adventure
44	44	To Die For (1995)	Comedy|Drama
45	45	How to Make an American Quilt (1995)	Drama|Romance
46	46	Seven (Se7en) (1995)	Crime|Thriller
47	47	Pocahontas (1995)	Animation|Children's|Musical|Romance
48	48	When Night Is Falling (1995)	Drama|Romance
49	49	Usual Suspects, The (1995)	Crime|Thriller
50	50	Guardian Angel (1994)	Action|Drama|Thriller
51	51	Mighty Aphrodite (1995)	Comedy
52	52	Lamerica (1994)	Drama
53	53	Big Green, The (1995)	Children's|Comedy
54	54	Georgia (1995)	Drama
55	55	Kids of the Round Table (1995)	Adventure|Children's|Fantasy
56	56	Home for the Holidays (1995)	Drama
57	57	Postino, Il (The Postman) (1994)	Drama|Romance
58	58	Confessional, The (Le Confessionnal) (1995)	Drama|Mystery
59	59	Indian in the Cupboard, The (1995)	Adventure|Children's|Fantasy
60	60	Eye for an Eye (1996)	Drama|Thriller
61	61	Mr. Holland's Opus (1995)	Drama
62	62	Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)	Comedy
63	63	Two if by Sea (1996)	Comedy|Romance
64	64	Bio-Dome (1996)	Comedy
65	65	Lawnmower Man 2: Beyond Cyberspace (1996)	Sci-Fi|Thriller
66	66	Two Bits (1995)	Drama
67	67	French Twist (Gazon maudit) (1995)	Comedy|Romance
68	68	Friday (1995)	Comedy
69	69	From Dusk Till Dawn (1996)	Action|Comedy|Crime|Horror|Thriller
70	70	Fair Game (1995)	Action
71	71	Kicking and Screaming (1995)	Comedy|Drama
72	72	Misérables, Les (1995)	Drama|Musical
73	73	Bed of Roses (1996)	Drama|Romance
74	74	Big Bully (1996)	Comedy|Drama
75	75	Screamers (1995)	Sci-Fi|Thriller
76	76	Nico Icon (1995)	Documentary
77	77	Crossing Guard, The (1995)	Drama
78	78	Juror, The (1996)	Drama|Thriller
79	79	White Balloon, The (Badkonake Sefid ) (1995)	Drama
80	80	Things to Do in Denver when You're Dead (1995)	Crime|Drama|Romance
81	81	Antonia's Line (Antonia) (1995)	Drama
82	82	Once Upon a Time... When We Were Colored (1995)	Drama
83	83	Last Summer in the Hamptons (1995)	Comedy|Drama
84	84	Angels and Insects (1995)	Drama|Romance
85	85	White Squall (1996)	Adventure|Drama
86	86	Dunston Checks In (1996)	Children's|Comedy
87	87	Black Sheep (1996)	Comedy
88	88	Nick of Time (1995)	Action|Thriller
89	89	Journey of August King, The (1995)	Drama
90	91	Mary Reilly (1996)	Drama|Thriller
91	92	Vampire in Brooklyn (1995)	Comedy|Romance
92	93	Beautiful Girls (1996)	Drama
93	94	Broken Arrow (1996)	Action|Thriller
94	95	In the Bleak Midwinter (1995)	Comedy
95	96	Hate (Haine, La) (1995)	Drama
96	97	Shopping (1994)	Action|Thriller
97	98	Heidi Fleiss: Hollywood Madam (1995)	Documentary
98	99	City Hall (1996)	Drama|Thriller
99	100	Bottle Rocket (1996)	Comedy
100	101	Mr. Wrong (1996)	Comedy
101	102	Unforgettable (1996)	Thriller
102	103	Happy Gilmore (1996)	Comedy
103	104	Bridges of Madison County, The (1995)	Drama|Romance
104	105	Nobody Loves Me (Keiner liebt mich) (1994)	Comedy|Drama
105	106	Muppet Treasure Island (1996)	Adventure|Children's|Comedy|Musical
106	107	Catwalk (1995)	Documentary
107	108	Headless Body in Topless Bar (1995)	Comedy
108	109	Braveheart (1995)	Action|Drama|War
109	110	Taxi Driver (1976)	Drama|Thriller
110	111	Rumble in the Bronx (1995)	Action|Adventure|Crime
111	112	Before and After (1996)	Drama|Mystery
112	113	Margaret's Museum (1995)	Drama
113	114	Happiness Is in the Field (1995)	Comedy
114	115	Anne Frank Remembered (1995)	Documentary
115	116	Young Poisoner's Handbook, The (1995)	Crime
116	117	If Lucy Fell (1996)	Comedy|Romance
117	118	Steal Big, Steal Little (1995)	Comedy
118	119	Race the Sun (1996)	Drama
119	120	Boys of St. Vincent, The (1993)	Drama
120	121	Boomerang (1992)	Comedy|Romance
121	122	Chungking Express (1994)	Drama|Mystery|Romance
122	123	Star Maker, The (Uomo delle stelle, L') (1995)	Drama
123	124	Flirting With Disaster (1996)	Comedy
124	125	NeverEnding Story III, The (1994)	Adventure|Children's|Fantasy
125	126	Silence of the Palace, The (Saimt el Qusur) (1994)	Drama
126	127	Jupiter's Wife (1994)	Documentary
127	128	Pie in the Sky (1995)	Comedy|Romance
128	129	Angela (1995)	Drama
129	130	Frankie Starlight (1995)	Drama|Romance
130	131	Jade (1995)	Thriller
131	132	Nueba Yol (1995)	Comedy|Drama
132	133	Sonic Outlaws (1995)	Documentary
133	134	Down Periscope (1996)	Comedy
134	135	From the Journals of Jean Seberg (1995)	Documentary
135	136	Man of the Year (1995)	Documentary
136	137	Neon Bible, The (1995)	Drama
137	138	Target (1995)	Action|Drama
138	139	Up Close and Personal (1996)	Drama|Romance
139	140	Birdcage, The (1996)	Comedy
140	141	Shadows (Cienie) (1988)	Drama
141	142	Gospa (1995)	Drama
142	143	Brothers McMullen, The (1995)	Comedy
143	144	Bad Boys (1995)	Action
144	145	Amazing Panda Adventure, The (1995)	Adventure|Children's
145	146	Basketball Diaries, The (1995)	Drama
146	147	Awfully Big Adventure, An (1995)	Drama
147	148	Amateur (1994)	Crime|Drama|Thriller
148	149	Apollo 13 (1995)	Drama
149	150	Rob Roy (1995)	Drama|Romance|War
150	151	Addiction, The (1995)	Horror
151	152	Batman Forever (1995)	Action|Adventure|Comedy|Crime
152	153	Belle de jour (1967)	Drama
153	154	Beyond Rangoon (1995)	Drama|War
154	155	Blue in the Face (1995)	Comedy
155	156	Canadian Bacon (1994)	Comedy|War
156	157	Casper (1995)	Adventure|Children's
157	158	Clockers (1995)	Drama
158	159	Congo (1995)	Action|Adventure|Mystery|Sci-Fi
159	160	Crimson Tide (1995)	Drama|Thriller|War
160	161	Crumb (1994)	Documentary
161	162	Desperado (1995)	Action|Romance|Thriller
162	163	Devil in a Blue Dress (1995)	Crime|Film-Noir|Mystery|Thriller
163	164	Die Hard: With a Vengeance (1995)	Action|Thriller
164	165	Doom Generation, The (1995)	Comedy|Drama
165	166	Feast of July (1995)	Drama
166	167	First Knight (1995)	Action|Adventure|Drama|Romance
167	168	Free Willy 2: The Adventure Home (1995)	Adventure|Children's|Drama
168	169	Hackers (1995)	Action|Crime|Thriller
169	170	Jeffrey (1995)	Comedy
170	171	Johnny Mnemonic (1995)	Action|Sci-Fi|Thriller
171	172	Judge Dredd (1995)	Action|Adventure|Sci-Fi
172	173	Jury Duty (1995)	Comedy
173	174	Kids (1995)	Drama
174	175	Living in Oblivion (1995)	Comedy
175	176	Lord of Illusions (1995)	Horror
176	177	Love & Human Remains (1993)	Comedy
177	178	Mad Love (1995)	Drama|Romance
178	179	Mallrats (1995)	Comedy
179	180	Mighty Morphin Power Rangers: The Movie (1995)	Action|Children's
180	181	Moonlight and Valentino (1995)	Drama|Romance
181	182	Mute Witness (1994)	Thriller
182	183	Nadja (1994)	Drama
183	184	Net, The (1995)	Sci-Fi|Thriller
184	185	Nine Months (1995)	Comedy
185	186	Party Girl (1995)	Comedy
186	187	Prophecy, The (1995)	Horror
187	188	Reckless (1995)	Comedy
188	189	Safe (1995)	Thriller
189	190	Scarlet Letter, The (1995)	Drama
190	191	Show, The (1995)	Documentary
191	192	Showgirls (1995)	Drama
192	193	Smoke (1995)	Drama
193	194	Something to Talk About (1995)	Comedy|Drama|Romance
194	195	Species (1995)	Horror|Sci-Fi
195	196	Stars Fell on Henrietta, The (1995)	Drama
196	197	Strange Days (1995)	Action|Crime|Sci-Fi
197	198	Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)	Drama|Musical
198	199	Tie That Binds, The (1995)	Thriller
199	200	Three Wishes (1995)	Drama
200	201	Total Eclipse (1995)	Drama|Romance
201	202	To Wong Foo, Thanks for Everything! Julie Newmar (1995)	Comedy
202	203	Under Siege 2: Dark Territory (1995)	Action
203	204	Unstrung Heroes (1995)	Comedy|Drama
204	205	Unzipped (1995)	Documentary
205	206	Walk in the Clouds, A (1995)	Drama|Romance
206	207	Waterworld (1995)	Action|Adventure
207	208	White Man's Burden (1995)	Drama
208	209	Wild Bill (1995)	Western
209	210	Browning Version, The (1994)	Drama
210	211	Bushwhacked (1995)	Comedy
211	212	Burnt By the Sun (Utomlyonnye solntsem) (1994)	Drama
212	213	Before the Rain (Pred dozhdot) (1994)	Drama
213	214	Before Sunrise (1995)	Drama|Romance
214	215	Billy Madison (1995)	Comedy
215	216	Babysitter, The (1995)	Drama|Thriller
216	217	Boys on the Side (1995)	Comedy|Drama
217	218	Cure, The (1995)	Drama
