	user_emb_id	gender	age	occupation	zipcode	age_desc	occ_desc
0	0	F	1	10	48067	Under 18	K-12 student
1	1	M	56	16	70072	56+	self-employed
2	2	M	25	15	55117	25-34	scientist
3	3	M	45	7	02460	45-49	executive/managerial
4	4	M	25	20	55455	25-34	writer
5	5	F	50	9	55117	50-55	homemaker
6	6	M	35	1	06810	35-44	academic/educator
7	7	M	25	12	11413	25-34	programmer
8	8	M	25	17	61614	25-34	technician/engineer
9	9	F	35	1	95370	35-44	academic/educator
10	10	F	25	1	04093	25-34	academic/educator
11	11	M	25	12	32793	25-34	programmer
12	12	M	45	1	93304	45-49	academic/educator
13	13	M	35	0	60126	35-44	other or not specified
14	14	M	25	7	22903	25-34	executive/managerial
15	15	F	35	0	20670	35-44	other or not specified
16	16	M	50	1	95350	50-55	academic/educator
17	17	F	18	3	95825	18-24	clerical/admin
18	18	M	1	10	48073	Under 18	K-12 student
19	19	M	25	14	55113	25-34	sales/marketing
20	20	M	18	16	99353	18-24	self-employed
21	21	M	18	15	53706	18-24	scientist
22	22	M	35	0	90049	35-44	other or not specified
23	23	F	25	7	10023	25-34	executive/managerial
24	24	M	18	4	01609	18-24	college/grad student
25	25	M	25	7	23112	25-34	executive/managerial
26	26	M	25	11	19130	25-34	lawyer
27	27	F	25	1	14607	25-34	academic/educator
28	28	M	35	7	33407	35-44	executive/managerial
29	29	F	35	7	19143	35-44	executive/managerial
30	30	M	56	7	06840	56+	executive/managerial
31	31	F	25	0	19355	25-34	other or not specified
32	32	M	45	3	55421	45-49	clerical/admin
33	33	F	18	0	02135	18-24	other or not specified
34	34	M	45	1	02482	45-49	academic/educator
35	35	M	25	3	94123	25-34	clerical/admin
36	36	F	25	9	66212	25-34	homemaker
37	37	F	18	4	02215	18-24	college/grad student
38	38	M	18	4	61820	18-24	college/grad student
39	39	M	45	0	10543	45-49	other or not specified
40	40	F	18	4	15116	18-24	college/grad student
41	41	M	25	8	24502	25-34	farmer
42	42	M	25	12	60614	25-34	programmer
43	43	M	45	17	98052	45-49	technician/engineer
44	44	F	45	16	94110	45-49	self-employed
45	45	M	18	19	75602	18-24	unemployed
46	46	M	18	4	94305	18-24	college/grad student
47	47	M	25	4	92107	25-34	college/grad student
48	48	M	18	12	77084	18-24	programmer
49	49	F	25	2	98133	25-34	artist
