uid,sid
3960,0
3960,1
3960,2
3960,3
3960,4
3960,5
3960,6
3960,7
3960,8
3960,9
3960,10
3960,11
3960,12
3960,13
3960,14
3960,15
3960,16
3960,17
3960,18
3960,19
3960,20
3960,21
3960,22
3960,23
3960,24
3960,25
3960,26
3960,27
3960,28
3960,29
3960,30
3960,31
3960,32
3960,33
3960,34
3960,35
3960,36
3960,37
3960,38
3960,39
3960,40
3960,41
3960,42
3960,43
3960,44
1387,45
1387,46
1387,47
1387,48
1387,49
1387,50
1387,9
1387,51
1387,52
1387,53
1387,7
1387,54
1387,55
1387,56
1387,57
1387,58
1387,59
1387,60
1387,61
1387,62
1387,63
1387,64
1387,15
1387,65
1387,66
1387,67
1387,68
1387,69
1387,18
1387,70
1387,71
1387,72
1387,73
1387,74
1387,75
1387,76
1387,77
1387,78
1387,79
1387,80
1387,81
1387,82
1387,83
1387,84
1387,85
1387,86
1387,87
1387,88
1387,89
1387,90
1387,26
1387,91
1387,92
1387,93
1387,94
1387,95
1387,14
1387,96
1387,97
1387,98
1387,99
1387,100
1387,101
1387,102
1387,103
1387,104
1387,105
1387,106
1387,107
1387,108
1387,109
1387,110
1387,111
1829,51
1829,112
1829,13
1829,113
1829,114
1829,115
1829,116
1829,80
1829,8
1829,66
1829,117
1829,45
1829,118
1829,119
1829,120
1829,46
1829,121
1829,100
1829,122
1829,123
1829,124
1829,125
1829,126
1829,127
1829,128
1829,129
1829,130
1829,131
1829,132
1829,133
1829,134
1829,72
1829,135
1829,39
1829,136
1829,137
1829,138
3011,22
3011,56
3011,100
3011,139
3011,8
3011,45
3011,12
3011,140
3011,14
3011,141
3011,142
3011,143
3011,99
3011,144
3011,145
3011,146
3011,147
3011,74
1927,2
1927,100
1927,66
1927,148
1927,149
1927,107
1927,150
1927,151
1927,96
1927,14
1927,95
1927,102
1927,97
1927,60
1927,152
1927,153
1927,124
1927,154
1927,155
1927,156
1927,105
1927,157
1927,158
1927,98
1927,159
1927,103
4326,46
4326,160
4326,161
4326,162
4326,100
4326,158
4326,163
4326,95
4326,14
4326,12
4326,60
4326,152
4326,96
4326,164
4326,165
4326,166
4326,167
4326,168
4326,101
4326,155
4326,169
4326,170
4326,159
4326,103
4326,171
4326,172
4326,93
4326,173
4326,79
4326,174
4326,175
4326,176
4326,177
4326,178
4326,51
4326,179
4326,180
4326,11
4326,35
4326,181
4326,182
4326,183
4326,184
4326,185
4326,186
4326,187
4326,188
4326,189
4326,190
4326,191
4326,192
4326,193
4326,194
4326,195
4326,64
4326,196
4326,197
4326,21
4326,198
4326,199
4326,15
4326,200
4326,65
4326,1
4326,201
4326,0
4326,202
4326,203
4326,204
4326,205
4326,206
4326,207
4326,208
4326,209
4326,210
4326,4
4326,211
4326,212
4326,213
4326,214
4326,215
4326,216
4326,217
4326,37
