Wall time,Step,Value
1575163311.476584,42,0.00014545410522259772
1575163311.582816,45,0.00014210208610165864
1575163312.419264,71,0.00012017402332276106
1575163313.1779652,94,0.00010664549336070195
1575163315.7165802,158,8.724373037694022e-05
1575163316.178879,167,8.518521644873545e-05
1575163319.34587,229,7.407827069982886e-05
1575163319.530273,234,7.345727499341592e-05
1575163320.3364322,255,7.149593147914857e-05
1575163321.027776,273,6.978966848691925e-05
1575163322.0780642,308,6.731180474162102e-05
1575163322.1256452,310,6.720313103869557e-05
1575163322.298409,318,6.671122537227347e-05
1575163324.9788952,421,6.316143117146567e-05
1575163325.8273122,460,6.20727296336554e-05
1575163326.1524942,474,6.184442463563755e-05
1575163327.743339,536,6.124144420027733e-05
1575163328.475518,563,6.114984716987237e-05
1575163328.8700101,579,6.0723301430698484e-05
1575163329.042403,586,6.0678732552332804e-05
1575163330.1412601,634,6.050592128303833e-05
1575163330.4177349,647,6.044418114470318e-05
1575163330.737389,661,6.0483842389658093e-05
1575163330.952346,671,6.054269033484161e-05
1575163331.968648,714,6.04274173383601e-05
1575163332.161567,722,6.033073805156164e-05
1575163333.6192,771,6.023734385962598e-05
1575163333.9287648,785,6.010586002958007e-05
1575163333.975741,787,6.007983029121533e-05
1575163334.322437,802,5.998953201924451e-05
1575163334.461257,808,5.997728294460103e-05
1575163335.1154199,836,5.996744948788546e-05
1575163338.763774,945,5.9720001445384696e-05
1575163340.198763,971,5.938710819464177e-05
1575163340.224585,972,5.9372039686422795e-05
1575163340.386815,978,5.9316786064300686e-05
1575163341.045501,1005,5.9449772379593924e-05
1575163341.3255491,1014,5.9340029110899195e-05
1575163342.468225,1063,5.903276178287342e-05
1575163342.539325,1066,5.900491669308394e-05
1575163343.359721,1093,5.8954778069164604e-05
1575163344.286808,1104,5.8864749007625505e-05
1575163347.509113,1161,5.830458758282475e-05
1575163348.6538188,1180,5.8553650887915865e-05
1575163351.359883,1261,5.776159014203586e-05
1575163353.272938,1316,5.8004992752103135e-05
1575163353.387247,1319,5.79724000999704e-05
1575163353.823744,1333,5.792540105176158e-05
1575163353.940479,1337,5.792981028207578e-05
1575163355.5107589,1385,5.692019112757407e-05
1575163355.761992,1392,5.69518051634077e-05
1575163356.880825,1414,5.658702866639942e-05
1575163357.319944,1426,5.643652184517123e-05
1575163357.72157,1436,5.635008346871473e-05
1575163359.858312,1466,5.589302600128576e-05
1575163360.101395,1477,5.5851905926829204e-05
1575163360.4183412,1491,5.5832941143307835e-05
1575163361.168603,1523,5.5560107284691185e-05
1575163361.821223,1552,5.5507745855720714e-05
1575163362.223417,1568,5.520935155800544e-05
1575163362.689949,1584,5.481140033225529e-05
1575163362.7958772,1588,5.471974873216823e-05
1575163363.29931,1605,5.439716187538579e-05
1575163364.2167308,1640,5.4427466238848865e-05
1575163365.450408,1691,5.373757448978722e-05
1575163366.019676,1709,5.330553540261462e-05
1575163366.336139,1718,5.323818913893774e-05
1575163366.6840372,1732,5.302215868141502e-05
1575163366.734369,1734,5.298988617141731e-05
1575163366.801766,1737,5.296873496263288e-05
1575163367.834425,1781,5.2029990911250934e-05
1575163369.163091,1826,5.127235272084363e-05
1575163369.65687,1844,5.111427526571788e-05
1575163369.887222,1853,5.1023751439061016e-05
1575163370.19897,1866,5.087043973617256e-05
1575163370.269641,1869,5.080681876279414e-05
1575163370.497752,1877,5.058565511717461e-05
1575163371.5879512,1917,5.024682468501851e-05
1575163372.212517,1934,5.034414061810821e-05
1575163373.2926002,1947,5.032500484958291e-05
1575163377.1225312,2001,4.9387424951419234e-05
1575163380.6278589,2036,4.8820253141457215e-05
1575163382.219008,2077,4.8147405323106796e-05
1575163382.813548,2096,4.807495133718476e-05
1575163386.867041,2187,4.716510375146754e-05
1575163387.543446,2199,4.687805994763039e-05
1575163387.907147,2211,4.663149229600094e-05
1575163388.553528,2231,4.603834167937748e-05
1575163388.680827,2236,4.591690958477557e-05
1575163388.714292,2237,4.5900575059931725e-05
1575163389.297518,2257,4.555358464131132e-05
1575163389.4361029,2262,4.551452730083838e-05
1575163390.886271,2307,4.474982779356651e-05
1575163391.175303,2319,4.447093670023605e-05
1575163391.985714,2354,4.3634030589601025e-05
1575163392.895426,2389,4.361365790828131e-05
1575163392.9211352,2390,4.3602794903563336e-05
1575163392.9692302,2392,4.359653394203633e-05
