Wall time,Step,Value
1575227131.332963,18,0.00018058952991850674
1575227132.062059,42,0.0001444692024961114
1575227132.151635,45,0.00014104154251981527
1575227132.4695702,56,0.00012971069372724742
1575227132.916623,71,0.00011774695303756744
1575227133.609597,94,0.0001046001780196093
1575227135.611264,155,8.301316847791895e-05
1575227135.696623,158,8.220798918046057e-05
1575227135.9535842,167,8.007094584172592e-05
1575227137.7640882,229,6.953889533178881e-05
1575227137.901425,234,6.896652485011145e-05
1575227138.554413,255,6.684486288577318e-05
1575227138.7616158,260,6.642779771937057e-05
1575227139.0040479,267,6.581599154742435e-05
1575227139.182239,273,6.5381515014451e-05
1575227140.27405,308,6.23633386567235e-05
1575227140.3293262,310,6.218125781742856e-05
1575227140.566059,318,6.16226316196844e-05
1575227141.4327612,347,6.002590453135781e-05
1575227142.0438888,367,5.935941589996219e-05
1575227144.9168482,421,5.8378835092298687e-05
1575227144.949068,422,5.836466152686626e-05
1575227146.095606,442,5.815218901261687e-05
1575227146.6832619,460,5.791707371827215e-05
1575227147.164671,474,5.7498877140460536e-05
1575227149.0415418,536,5.717513704439625e-05
1575227149.833216,563,5.698967652278952e-05
1575227150.2855182,579,5.680268441210501e-05
1575227150.5006368,586,5.666624565492384e-05
1575227150.527457,587,5.6648841564310715e-05
1575227151.42879,620,5.628972576232627e-05
1575227151.801244,634,5.629026782116853e-05
1575227152.01471,642,5.638036964228377e-05
1575227152.1495261,647,5.6424039939884096e-05
1575227152.202694,649,5.645083001581952e-05
1575227152.52463,661,5.649304512189701e-05
1575227152.790528,671,5.6416862207697704e-05
1575227153.935616,714,5.615821646642871e-05
1575227154.150882,722,5.605265323538333e-05
1575227154.362015,730,5.596860501100309e-05
1575227155.235977,756,5.631828025798313e-05
1575227155.4745128,765,5.634337867377326e-05
1575227155.5832372,769,5.6320779549423605e-05
1575227155.6375911,771,5.6290758948307484e-05
1575227156.0096262,785,5.6079745263559744e-05
1575227156.062471,787,5.605863407254219e-05
1575227156.2483351,794,5.5991204135352746e-05
1575227156.459966,802,5.6061242503346875e-05
1575227156.6212108,808,5.604912439594045e-05
1575227157.3827682,836,5.614770270767622e-05
1575227159.3430002,909,5.664419586537406e-05
1575227160.232662,942,5.6462045904481784e-05
1575227160.311884,945,5.642452015308663e-05
1575227160.76435,962,5.608590072370134e-05
1575227161.009237,971,5.603440149570815e-05
1575227161.0361228,972,5.6042790674837306e-05
1575227161.196168,978,5.606471677310765e-05
1575227161.3558102,984,5.6016673624981195e-05
1575227161.836714,1002,5.58405663468875e-05
1575227161.9157372,1005,5.582091398537159e-05
1575227162.157511,1014,5.583854726864956e-05
1575227163.632677,1063,5.547084583668038e-05
1575227163.716873,1066,5.5477485148003325e-05
1575227163.8858612,1072,5.552524089580402e-05
1575227164.092551,1078,5.547083492274396e-05
1575227164.5486798,1093,5.530891576199792e-05
1575227164.7512178,1099,5.525691813090816e-05
1575227164.898326,1104,5.518450780073181e-05
1575227166.411875,1156,5.5177129979711026e-05
1575227166.5625029,1161,5.5076707212720066e-05
1575227166.596886,1162,5.505153239937499e-05
1575227167.116045,1180,5.4955457017058507e-05
1575227167.4851332,1193,5.492033960763365e-05
1575227167.9267452,1206,5.488690294441767e-05
1575227169.1274738,1244,5.47577474208083e-05
1575227169.6443121,1261,5.471747135743499e-05
1575227170.3054788,1281,5.4868694860488176e-05
1575227171.3976479,1316,5.4440413805423304e-05
1575227171.484542,1319,5.436142237158492e-05
1575227171.9957628,1333,5.411633537732996e-05
1575227172.146948,1337,5.4049258324084803e-05
1575227173.560533,1385,5.348410923033953e-05
1575227173.7684538,1392,5.3533396567218006e-05
1575227174.599643,1414,5.341828727978282e-05
1575227174.962484,1426,5.338338087312877e-05
1575227175.260077,1436,5.3375471907202154e-05
1575227176.345536,1466,5.3179493988864124e-05
1575227176.677967,1477,5.3202384151518345e-05
1575227176.905076,1485,5.320211857906543e-05
1575227177.100936,1491,5.318249895935878e-05
1575227178.248687,1523,5.293397407513112e-05
1575227179.026347,1552,5.264904393698089e-05
1575227179.528123,1568,5.23818343936e-05
1575227179.990987,1584,5.205650450079702e-05
1575227180.108064,1588,5.201722160563804e-05
1575227180.6301818,1605,5.191392119741067e-05
1575227181.952513,1640,5.119319030200131e-05
1575227182.230001,1648,5.111206337460317e-05
1575227183.299903,1682,5.0756108976202086e-05
1575227183.5518239,1691,5.066973244538531e-05
1575227183.71209,1697,5.064647120889276e-05
1575227183.8470259,1702,5.0589515012688935e-05
1575227184.0337338,1709,5.0496211770223454e-05
1575227184.2741492,1718,5.0362676120130345e-05
1575227184.6527731,1732,5.0218946853419766e-05
1575227184.7054,1734,5.0197995733469725e-05
1575227184.785571,1737,5.01846443512477e-05
1575227185.025996,1746,5.006870560464449e-05
1575227186.0393448,1781,4.975981210009195e-05
1575227186.67853,1805,4.9916790885617957e-05
1575227187.252471,1826,4.970193185727112e-05
1575227187.732491,1844,4.9395581299904734e-05
1575227187.974643,1853,4.928934504278004e-05
1575227188.320496,1866,4.907215043203905e-05
1575227188.4004889,1869,4.900867861579172e-05
1575227188.614081,1877,4.869929398410022e-05
1575227189.681123,1917,4.8157624405575916e-05
1575227190.136805,1934,4.788478690898046e-05
1575227190.4023209,1944,4.77116227557417e-05
1575227190.481614,1947,4.763345350511372e-05
1575227191.0185049,1967,4.725640974356793e-05
1575227191.4440079,1983,4.6908637159503996e-05
1575227191.924342,2001,4.664242442231625e-05
1575227192.245467,2013,4.6634315367555246e-05
1575227192.7020988,2030,4.6241922973422334e-05
1575227192.86088,2036,4.616479418473318e-05
1575227193.870472,2073,4.599460226017982e-05
1575227193.9501262,2076,4.595673090079799e-05
1575227193.977071,2077,4.5944645535200834e-05
1575227194.191406,2085,4.5842407416785136e-05
1575227194.297822,2089,4.580588938551955e-05
1575227194.484069,2096,4.577525032800622e-05
1575227195.899798,2149,4.5057455281494185e-05
1575227196.087258,2156,4.499840360949747e-05
1575227196.327405,2165,4.473232547752559e-05
1575227196.913756,2187,4.455207090359181e-05
1575227197.020818,2191,4.44790675828699e-05
1575227197.408968,2199,4.441392593435012e-05
1575227197.623222,2207,4.4324315240373835e-05
1575227197.7311401,2211,4.424982034834102e-05
1575227198.265034,2231,4.410419205669314e-05
1575227198.3981812,2236,4.398441524244845e-05
1575227198.424787,2237,4.395761789055541e-05
1575227198.558062,2242,4.380844984552823e-05
1575227198.8780549,2254,4.3599731725407764e-05
1575227198.958146,2257,4.357106809038669e-05
1575227199.0979578,2262,4.351824463810772e-05
1575227199.607075,2281,4.30280742875766e-05
1575227200.036394,2297,4.2721385398181155e-05
1575227200.302943,2307,4.2793213651748374e-05
1575227200.6224902,2319,4.263730443199165e-05
1575227201.3162382,2345,4.228606485412456e-05
1575227201.557781,2354,4.208866084809415e-05
1575227202.4917629,2389,4.115550109418109e-05
1575227202.518844,2390,4.114459807169624e-05
1575227202.572053,2392,4.11156470363494e-05
1575227203.7470238,2436,4.032242577522993e-05
1575227203.9598641,2444,4.035945676150732e-05
1575227204.200574,2453,4.0395047108177096e-05
1575227204.254148,2455,4.035000529256649e-05
1575227204.386488,2460,4.016824095742777e-05
1575227205.052504,2485,3.979308166890405e-05
1575227205.0790348,2486,3.9752070733811706e-05
1575227205.368062,2496,3.9497928810305893e-05
1575227205.4210172,2498,3.946846481994726e-05
1575227205.5577888,2503,3.9390899473801255e-05
1575227205.9294379,2517,3.900241426890716e-05
1575227206.089507,2523,3.897349597536959e-05
1575227206.3298519,2532,3.8936286728130654e-05
1575227206.729223,2547,3.8822567148599774e-05
1575227206.889808,2553,3.885369733325206e-05
1575227208.143202,2600,3.812837167060934e-05
1575227208.303297,2606,3.803692743531428e-05
1575227208.757961,2623,3.758800448849797e-05
1575227208.917191,2629,3.731855395017192e-05
1575227210.4086888,2685,3.651480074040592e-05
1575227210.5437849,2690,3.646695404313505e-05
1575227210.8904471,2703,3.637079134932719e-05
1575227211.8808162,2740,3.5658875276567414e-05
1575227212.256246,2754,3.57640310539864e-05
1575227213.190491,2789,3.514375930535607e-05
1575227215.4043462,2872,3.302425830042921e-05
1575227215.882756,2890,3.273946276749484e-05
1575227216.046299,2896,3.26469998981338e-05
1575227216.682828,2920,3.2256575650535524e-05
1575227218.1430888,2967,3.259019285906106e-05
1575227218.35616,2975,3.249027213314548e-05
1575227219.321762,3011,3.095973806921393e-05
1575227219.748201,3027,3.0844981665723026e-05
1575227219.829076,3030,3.083400224568322e-05
1575227220.042583,3038,3.077524888794869e-05
1575227220.122997,3041,3.075670974794775e-05
1575227220.869653,3069,3.023760837095324e-05
1575227221.669209,3099,3.0137864087009802e-05
1575227223.165072,3155,2.9652839657501318e-05
1575227223.3243241,3161,2.9531223844969645e-05
1575227223.751538,3177,2.9396305762929842e-05
1575227224.2321339,3195,2.9357059247558936e-05
1575227224.258762,3196,2.9368318791966885e-05
1575227225.163581,3230,2.8613294489332475e-05
1575227225.429043,3240,2.8655476853600703e-05
1575227225.5092218,3243,2.8662869226536714e-05
1575227225.5357828,3244,2.8643826226470992e-05
1575227225.5886898,3246,2.8603757527889684e-05
1575227225.6149719,3247,2.8571961593115702e-05
1575227226.2794938,3272,2.7964752007392235e-05
1575227227.157525,3305,2.7581692847888917e-05
1575227228.238606,3345,2.6750831239041872e-05
1575227229.078975,3376,2.6596859242999926e-05
1575227229.805302,3403,2.6159728804486804e-05
1575227229.938794,3408,2.6137517124880105e-05
1575227230.526415,3430,2.5648449081927538e-05
1575227231.033778,3449,2.5748891857801937e-05
1575227231.431972,3464,2.5503322831355035e-05
1575227231.862508,3480,2.5550456484779716e-05
1575227232.633439,3509,2.5221510441042483e-05
1575227232.71413,3512,2.5179570002364926e-05
1575227233.380779,3537,2.4735092665650882e-05
1575227234.531014,3580,2.4247538021882065e-05
1575227235.065526,3600,2.387033964623697e-05
1575227235.566329,3618,2.34387753152987e-05
1575227235.619448,3620,2.342703919566702e-05
1575227235.672534,3622,2.339063757972326e-05
1575227235.8330188,3628,2.334877171961125e-05
1575227236.577976,3656,2.2903730496182106e-05
1575227237.135201,3670,2.2850537789054215e-05
1575227238.6189282,3726,2.2270058252615854e-05
1575227238.725782,3730,2.224961826868821e-05
1575227239.019562,3741,2.2052883650758304e-05
1575227239.847161,3772,2.167298771382775e-05
1575227240.06218,3780,2.174947439925745e-05
1575227240.4094248,3793,2.18888781091664e-05
1575227240.542437,3798,2.1948884750599973e-05
1575227240.969481,3814,2.194082480855286e-05
1575227241.1045241,3819,2.1916124751442112e-05
1575227241.157407,3821,2.1900432329857722e-05
1575227241.4239738,3831,2.1794681742903776e-05
1575227241.531093,3835,2.1744792320532724e-05
1575227242.305272,3864,2.1147945517441258e-05
1575227242.625213,3876,2.1038153136032633e-05
1575227244.012327,3928,2.038068305409979e-05
1575227244.305143,3939,2.0403031157911755e-05
1575227244.7586792,3956,2.0268729713279754e-05
1575227245.503592,3984,1.981981040444225e-05
1575227246.200583,4010,1.936941953317728e-05
1575227246.519727,4022,1.932135819515679e-05
1575227246.8116322,4033,1.937557135534007e-05
1575227246.891433,4036,1.9361646991455927e-05
1575227248.415384,4093,1.878882358141709e-05
1575227248.547429,4098,1.8590990293887444e-05
1575227248.839921,4109,1.8300879673915915e-05
1575227250.787092,4182,1.7971382476389408e-05
1575227251.07841,4193,1.803421400836669e-05
1575227251.105323,4194,1.8047643607133068e-05
1575227251.158302,4196,1.8077620552503504e-05
1575227251.290605,4201,1.819763201638125e-05
1575227251.3172,4202,1.8217873730463907e-05
1575227251.98235,4227,1.772794894350227e-05
1575227252.1178062,4232,1.7518324966658838e-05
1575227252.1973052,4235,1.7431431842851453e-05
1575227252.410078,4243,1.7383190424880013e-05
1575227252.9425468,4263,1.7088685126509517e-05
1575227253.023424,4266,1.7136031601694413e-05
1575227253.050244,4267,1.7158054106403142e-05
1575227253.4497228,4282,1.7365273379255086e-05
1575227254.056329,4304,1.73502503457712e-05
1575227254.4012501,4317,1.7445114281144924e-05
1575227254.454143,4319,1.7413723981007934e-05
1575227254.80081,4332,1.7191323422593996e-05
1575227255.7860548,4369,1.678633088886272e-05
1575227256.614284,4393,1.6302856238326058e-05
1575227256.801161,4400,1.6236639567068778e-05
1575227256.960021,4406,1.6261788914562203e-05
1575227257.6022558,4430,1.6186108041438274e-05
1575227257.682675,4433,1.617489760974422e-05
1575227259.2960262,4492,1.5649977285647765e-05
1575227259.756012,4509,1.5463274394278415e-05
1575227260.38643,4530,1.543041435070336e-05
1575227260.475967,4533,1.543162579764612e-05
1575227261.801284,4578,1.5115089809114579e-05
1575227261.881848,4581,1.5157200323301367e-05
1575227262.3129852,4597,1.5158662790781818e-05
1575227263.141398,4628,1.485004395362921e-05
1575227263.886166,4656,1.4527538951369934e-05
1575227264.141013,4664,1.4554630070051644e-05
1575227264.26569,4668,1.4559703231498133e-05
1575227264.5034292,4676,1.4388746421900578e-05
1575227264.840309,4687,1.4270126484916545e-05
1575227265.544102,4713,1.4569257473340258e-05
1575227265.676446,4718,1.4605235264752991e-05
1575227266.109972,4734,1.4566459867637604e-05
1575227266.608611,4750,1.457134658267023e-05
1575227266.842172,4758,1.4474605450232048e-05
1575227267.136651,4767,1.4252985238272231e-05
1575227267.434659,4776,1.4161854778649285e-05
1575227267.7483468,4787,1.409111609973479e-05
1575227267.774681,4788,1.405892089678673e-05
1575227268.105912,4800,1.4060846297070384e-05
1575227268.165517,4802,1.4065506547922269e-05
1575227269.275558,4840,1.3263184882816859e-05
1575227269.596017,4852,1.3315172509464901e-05
1575227270.104482,4871,1.3248446521174628e-05
1575227270.726968,4894,1.3050162124272902e-05
1575227271.30041,4914,1.299286577705061e-05
1575227272.677048,4962,1.2356472325336654e-05
1575227272.916138,4971,1.2236679140187334e-05
1575227272.995256,4974,1.231570786330849e-05
1575227274.482188,5027,1.2373261597531382e-05
1575227274.5628648,5030,1.2330025128903799e-05
1575227275.098978,5050,1.1907346561201848e-05
1575227275.1523762,5052,1.1886926586157642e-05
1575227275.179081,5053,1.1878842087753583e-05
1575227275.84433,5078,1.1882548278663307e-05
1575227276.666522,5106,1.1700093637045939e-05
1575227277.503654,5126,1.1603249731706455e-05
1575227277.7621891,5134,1.1607638953137212e-05
1575227278.607806,5165,1.1107837963209022e-05
1575227279.103013,5182,1.105461979022948e-05
1575227279.647468,5200,1.139372670877492e-05
1575227279.859885,5208,1.1470791832834948e-05
1575227280.68859,5239,1.1357899893482681e-05
1575227282.071168,5289,1.0985446351696737e-05
1575227282.842707,5318,1.0886538802878931e-05
1575227283.136936,5329,1.0892512364080176e-05
1575227283.5630138,5345,1.0838285561476368e-05
1575227283.935937,5359,1.068791334546404e-05
1575227284.496404,5380,1.078759305528365e-05
1575227285.5643158,5420,1.0584349183773156e-05
1575227286.149965,5442,1.0685930647014175e-05
1575227286.2825081,5447,1.0682545507734176e-05
1575227287.2687309,5484,1.0358485269534867e-05
1575227287.562571,5495,1.0064125490316655e-05
1575227288.0984268,5515,9.754603524925187e-06
1575227288.150508,5517,9.796381164051127e-06
1575227289.0081768,5549,9.640835742175113e-06
1575227289.650642,5573,9.926056009135209e-06
1575227289.969554,5585,9.963882803276647e-06
1575227290.023038,5587,9.925487574946601e-06
1575227290.182852,5593,9.835039236349985e-06
1575227291.167223,5630,9.463748028792907e-06
1575227291.913043,5658,9.16716453502886e-06
1575227291.96633,5660,9.17445959203178e-06
1575227292.073975,5664,9.199638952850364e-06
1575227292.522959,5679,9.420514288649429e-06
1575227293.7232041,5720,8.868772056302987e-06
1575227293.811027,5723,8.8961724031833e-06
1575227295.286901,5776,9.315761417383328e-06
1575227295.376002,5779,9.275366210204083e-06
1575227295.664323,5789,9.229484021489043e-06
1575227296.2285912,5807,9.104811397264712e-06
1575227296.262775,5808,9.09476602828363e-06
1575227296.7333848,5825,8.88140857568942e-06
1575227296.813169,5828,8.796830115898047e-06
1575227297.8950322,5862,8.59714509715559e-06
1575227297.947596,5864,8.61179614730645e-06
1575227298.134321,5871,8.669469934829976e-06
1575227299.1707258,5907,8.47072442411445e-06
1575227299.7791622,5928,8.2325686889817e-06
1575227300.4480698,5952,8.254033673438244e-06
1575227300.5824928,5957,8.22117453935789e-06
1575227300.754606,5963,8.198472642106935e-06
1575227301.484656,5990,7.837938937882427e-06
1575227302.052338,6010,7.801018000463955e-06
1575227302.1878111,6015,7.90041212894721e-06
1575227302.6156669,6030,7.936334441183135e-06
1575227302.755021,6035,7.827871741028503e-06
1575227304.0424352,6078,7.555392585345544e-06
1575227304.818553,6103,7.846660082577728e-06
1575227304.8816278,6105,7.887707397458144e-06
1575227305.369767,6121,8.052435987337958e-06
1575227305.423993,6123,8.06398929853458e-06
1575227305.595904,6129,7.99740337242838e-06
1575227305.653138,6131,7.957770321809221e-06
1575227306.160531,6149,7.732518497505225e-06
1575227306.803935,6172,7.484773504984332e-06
1575227307.053246,6181,7.514627213822678e-06
1575227307.559903,6200,7.663089490961283e-06
1575227307.8531132,6211,7.617446044605458e-06
1575227307.9062579,6213,7.613862180733122e-06
1575227308.067681,6219,7.523671683884459e-06
1575227308.413383,6232,7.335380814765813e-06
1575227308.891381,6250,7.241977073135786e-06
1575227309.930274,6289,7.449574241036316e-06
1575227310.546193,6312,6.985255822655745e-06
1575227310.651724,6316,6.979340014368063e-06
1575227310.6782248,6317,6.978873898333404e-06
1575227311.318927,6341,6.8859776547469664e-06
1575227311.615335,6352,6.848912562418263e-06
1575227311.908431,6363,6.892557394166943e-06
1575227312.097558,6370,6.863961516501149e-06
1575227312.2581708,6376,6.782646778447088e-06
1575227312.8972402,6400,6.64480739942519e-06
1575227314.486381,6459,6.466686045314418e-06
1575227315.4451149,6495,6.6996817622566596e-06
1575227315.471225,6496,6.706171006953809e-06
1575227315.5780962,6500,6.698077868350083e-06
1575227316.1142,6520,6.498260972875869e-06
1575227316.140905,6521,6.489523457275936e-06
1575227316.167222,6522,6.480248430307256e-06
1575227316.37998,6530,6.429496352211572e-06
1575227317.5548859,6574,6.171928362164181e-06
1575227317.740814,6581,6.175316229928285e-06
