Wall time,Step,Value
1581564704.309314,42,0.00012507810606621206
1581564704.429955,45,0.00012213585432618856
1581564705.593066,71,0.0001025520614348352
1581564706.531559,94,9.110711835091934e-05
1581564709.626039,158,7.446126983268186e-05
1581564709.9901109,167,7.284235471161082e-05
1581564712.868608,229,6.496607966255397e-05
1581564713.281373,234,6.445490726036951e-05
1581564714.227482,255,6.225331162568182e-05
1581564715.064916,273,6.0843325627502054e-05
1581564716.591511,308,5.8717381762107834e-05
1581564716.756922,310,5.8542431361274794e-05
1581564717.19177,318,5.7912075135391206e-05
1581564721.665649,421,5.5568576499354094e-05
1581564722.9274292,460,5.489703471539542e-05
1581564723.378765,474,5.4833708418300375e-05
1581564725.690953,536,5.431052704807371e-05
1581564727.00132,579,5.459050225908868e-05
1581564727.2034109,586,5.453900303109549e-05
1581564728.760423,634,5.427539144875482e-05
1581564729.288793,647,5.4335388995241374e-05
1581564729.9951491,671,5.4480453400174156e-05
1581564731.632565,714,5.452477853395976e-05
1581564731.851224,722,5.4548239859286696e-05
1581564734.035247,771,5.5016225815052167e-05
1581564734.770345,785,5.507923197001219e-05
1581564735.6092649,802,5.496752055478282e-05
1581564736.104296,808,5.496645098901354e-05
1581564737.859755,836,5.527271787286736e-05
1581564742.366488,945,5.542261715163477e-05
1581564743.188158,971,5.5061624152585864e-05
1581564744.600637,1014,5.508622416527942e-05
1581564746.24638,1066,5.500744009623304e-05
1581564747.440587,1104,5.4812182497698814e-05
1581564749.745839,1180,5.45520888408646e-05
1581564752.059974,1261,5.397572022047825e-05
1581564753.789859,1316,5.39633292646613e-05
1581564753.8806558,1319,5.389429861679673e-05
1581564754.320322,1333,5.356350084184669e-05
1581564754.443617,1337,5.352206062525511e-05
1581564755.845289,1385,5.35155413672328e-05
1581564756.041364,1392,5.349113780539483e-05
1581564757.274163,1436,5.323922596289776e-05
1581564758.298675,1466,5.327439430402592e-05
1581564759.965903,1523,5.2733645134139806e-05
1581564761.375104,1552,5.2590319683076814e-05
1581564761.822916,1568,5.2554903959389776e-05
1581564762.368812,1584,5.241010512690991e-05
1581564764.261504,1640,5.208003494772129e-05
1581564765.685374,1691,5.137698462931439e-05
1581564766.200591,1709,5.108988989377394e-05
1581564766.4493,1718,5.0975966587429866e-05
1581564766.89567,1734,5.083697033114731e-05
1581564766.978158,1737,5.0796588766388595e-05
1581564768.205716,1781,5.0260339776286855e-05
1581564769.9571562,1844,4.9225607654079795e-05
1581564770.575074,1866,4.900953354081139e-05
1581564770.657463,1869,4.89668564114254e-05
1581564770.87863,1877,4.890105265076272e-05
1581564771.988266,1917,4.811130202142522e-05
1581564772.457443,1934,4.8019599489634857e-05
1581564772.8195221,1947,4.784118937095627e-05
1581564775.5881941,2036,4.7129571612458676e-05
1581564777.258993,2096,4.615603756974451e-05
1581564779.795651,2187,4.4612635974772274e-05
1581564780.3523688,2199,4.4377567974152043e-05
1581564781.246182,2231,4.4229622290004045e-05
1581564781.412043,2237,4.421615449246019e-05
1581564781.965941,2257,4.4123808038420975e-05
1581564782.1062589,2262,4.406239168019965e-05
1581564783.3549051,2307,4.35408073826693e-05
1581564783.697438,2319,4.357789293862879e-05
1581564784.708674,2354,4.3207084672758356e-05
1581564785.6824472,2389,4.2077197576873004e-05
1581564785.7103171,2390,4.205627192277461e-05
1581564786.988572,2436,4.14671994803939e-05
1581564787.460832,2453,4.1149778553517535e-05
1581564787.518904,2455,4.1118793888017535e-05
1581564787.65797,2460,4.101343802176416e-05
1581564788.348654,2485,4.0274873754242435e-05
1581564788.376199,2486,4.0263403207063675e-05
1581564788.711807,2498,4.019315019831993e-05
1581564788.8624089,2503,4.017269748146646e-05
1581564789.672332,2532,3.978769382229075e-05
1581564790.0911849,2547,3.983532224083319e-05
1581564790.25632,2553,3.9849630411481485e-05
1581564793.934289,2685,3.778093741857447e-05
1581564795.459865,2740,3.688397555379197e-05
1581564796.8261619,2789,3.592861321521923e-05
1581564799.796752,2896,3.473919423413463e-05
1581564801.947739,2967,3.360953269293532e-05
1581564803.167201,3011,3.3177351724589244e-05
1581564803.914305,3038,3.2617957913316786e-05
1581564803.998219,3041,3.258113792981021e-05
1581564805.61502,3099,3.149115218548104e-05
1581564807.339356,3161,3.0854866054141894e-05
1581564808.308791,3196,3.076694702031091e-05
1581564809.2584598,3230,3.0081886507105082e-05
1581564809.646711,3244,2.965487692563329e-05
1581564809.702624,3246,2.965646854136139e-05
1581564809.72965,3247,2.9651813747477718e-05
1581564811.338034,3305,2.8945070880581625e-05
1581564816.2473211,3480,2.5955261662602425e-05
1581564819.5870879,3600,2.518839573895093e-05
1581564820.083717,3618,2.5033608835656196e-05
1581564820.138775,3620,2.503098403394688e-05
1581564821.696092,3670,2.4658618713147007e-05
1581564823.243839,3726,2.3853843231336214e-05
1581564823.657214,3741,2.3564691218780354e-05
1581564825.101014,3793,2.342504376429133e-05
1581564825.694628,3814,2.274214602948632e-05
1581564825.888633,3821,2.2762304070056416e-05
1581564828.8515,3928,2.1644260414177552e-05
1581564829.624175,3956,2.1724779799114913e-05
1581564830.398859,3984,2.1500469301827252e-05
1581564831.8405151,4036,2.078019497275818e-05
1581564833.5656488,4098,2.0399262211867608e-05
1581564836.2930691,4196,1.9698947653523646e-05
1581564837.146576,4227,1.8867949620471336e-05
1581564837.283575,4232,1.886454992927611e-05
1581564839.290303,4304,1.8488755813450553e-05
1581564839.652949,4317,1.8275339243700728e-05
1581564839.707704,4319,1.8261334844282828e-05
1581564842.385204,4400,1.7370632122037932e-05
1581564845.3971992,4492,1.66823883773759e-05
1581564845.892423,4509,1.663695729803294e-05
1581564846.4996579,4530,1.630051337997429e-05
1581564849.404612,4628,1.5894669559202157e-05
1581564850.49226,4664,1.5937268472043797e-05
1581564850.619176,4668,1.5895926480880007e-05
1581564850.8796349,4676,1.5855785022722557e-05
1581564853.279453,4750,1.549752414575778e-05
1581564854.445666,4788,1.503264229540946e-05
1581564854.9521332,4802,1.4927201846148819e-05
1581564856.142108,4840,1.4115801604930311e-05
1581564856.496874,4852,1.4035349522600882e-05
1581564857.724885,4894,1.4040250789548736e-05
1581564859.7530901,4962,1.36756498250179e-05
1581564860.038183,4971,1.3531935110222548e-05
1581564860.130316,4974,1.3487660908140242e-05
1581564862.477535,5050,1.3207810297899414e-05
1581564862.542043,5052,1.3155479791748803e-05
1581564864.1292958,5106,1.293582590733422e-05
1581564865.228642,5134,1.2641666216950398e-05
1581564868.3394392,5239,1.2140534636273514e-05
1581564870.898242,5329,1.1759034350689035e-05
1581564871.3376992,5345,1.1962301869061776e-05
1581564871.727266,5359,1.1951262422371656e-05
1581564873.5269492,5420,1.1132304280181415e-05
1581564876.3985548,5517,1.0868478966585826e-05
1581564877.510784,5549,1.0807406397361774e-05
1581564881.676804,5664,1.0252865649817977e-05
1581564882.137567,5679,1.0186538929701783e-05
1581564883.603275,5723,9.849624802882317e-06
1581564885.983093,5808,9.260778824682347e-06
1581564886.4579468,5825,9.09882874111645e-06
1581564886.544001,5828,9.146561751549598e-06
1581564887.745787,5864,9.111570761888288e-06
1581564887.9405901,5871,9.206269169226289e-06
1581564888.9403598,5907,9.528783266432583e-06
1581564889.5226922,5928,9.3214412117959e-06
1581564891.2422101,5990,8.787767910689581e-06
1581564891.805783,6010,8.809140126686543e-06
1581564894.94067,6121,8.120261554722674e-06
1581564895.218257,6131,8.156374860845972e-06
1581564897.214745,6200,8.017246727831662e-06
1581564897.574732,6213,7.913967237982433e-06
1581564897.748503,6219,7.963355528772809e-06
1581564898.113918,6232,8.175445145752747e-06
1581564899.698484,6289,7.921148608147632e-06
1581564900.337216,6312,7.759022992104292e-06
1581564900.4753761,6317,7.712677870586049e-06
1581564902.112567,6376,7.193140845629387e-06
1581564902.780284,6400,7.012243713688804e-06
1581564905.4475489,6496,7.206484951893799e-06
1581564906.1310022,6520,7.1289036895905156e-06
1581564907.673408,6574,6.89560829414404e-06
1581564908.744066,6603,6.479879630205687e-06
1581564910.381983,6657,6.742343884980073e-06
1581564911.474875,6696,6.7664104790310375e-06
1581564911.559593,6699,6.758951258234447e-06
1581564911.8949041,6711,6.676891189272283e-06
1581564912.7555,6742,6.1295527302718256e-06
1581564915.6484292,6846,6.0684237723762635e-06
1581564915.870647,6854,6.038100309524452e-06
1581564916.2946281,6869,6.193564786372008e-06
1581564918.984001,6966,5.646376848744694e-06
1581564919.7095392,6992,5.654280357703101e-06
1581564920.3375318,7014,5.745388989453204e-06
1581564922.878103,7106,5.57614657736849e-06
1581564923.097367,7114,5.630885425489396e-06
1581564924.233869,7155,5.428517397376709e-06
1581564925.937428,7216,5.059834620624315e-06
1581564926.7962408,7247,5.340431471267948e-06
1581564928.5622442,7311,5.146703188074753e-06
1581564929.538558,7339,5.16788304594229e-06
1581564929.565661,7340,5.177517778065521e-06
1581564930.0917602,7359,5.252967184787849e-06
1581564930.731518,7382,4.923009328194894e-06
1581564931.258889,7401,4.808197445527185e-06
1581564932.651995,7450,4.714330771093955e-06
1581564932.930454,7460,4.636457106244052e-06
1581564933.015351,7463,4.642908606911078e-06
1581564933.4346619,7478,4.860180979449069e-06
1581564934.346923,7511,4.823782546736766e-06
1581564940.235242,7687,4.331392574385973e-06
1581564940.526245,7693,4.227224962960463e-06
1581564943.8662632,7760,4.096017619303893e-06
1581564945.084206,7788,4.049592007504543e-06
1581564945.376659,7798,4.021985205326928e-06
1581564946.3568509,7833,3.918004040315282e-06
1581564948.2246752,7900,4.054400505992817e-06
1581564949.108187,7932,3.852844656648813e-06
1581564950.758228,7991,3.5894772736355662e-06
1581564951.7282639,8026,3.642250476332265e-06
1581564952.363733,8049,3.6952174014004413e-06
1581564953.006776,8066,3.8495977605634835e-06
1581564956.1727428,8180,3.4877100461017108e-06
1581564957.139612,8215,3.4833381050702883e-06
1581564957.305069,8221,3.503712832753081e-06
1581564959.214566,8290,3.4520726330811158e-06
1581564960.431898,8334,3.2648197247908683e-06
1581564961.2334678,8363,3.294150246802019e-06
1581564961.369921,8368,3.333954282425111e-06
1581564961.616767,8377,3.399533852643799e-06
1581564964.139381,8467,3.104666575381998e-06
1581564964.224245,8470,3.053955879295245e-06
1581564964.9971561,8498,3.1077745461516315e-06
1581564965.2735958,8508,3.2429434213554487e-06
1581564966.8783329,8566,3.153941406708327e-06
1581564967.8460438,8601,3.1753127132105874e-06
1581564968.758879,8634,2.977431677209097e-06
1581564968.785703,8635,2.975456254716846e-06
1581564970.4444742,8695,2.6839113616006216e-06
1581564974.035636,8819,2.7400071758165723e-06
1581564974.118007,8822,2.7362500532035483e-06
1581564975.675561,8878,2.6915395210380666e-06
1581564976.4207418,8904,2.535414751037024e-06
1581564976.502856,8907,2.5221793293894734e-06
1581564977.086554,8928,2.532976623115246e-06
1581564977.283094,8935,2.6201246328128036e-06
1581564978.896418,8993,2.308157036168268e-06
1581564979.0657961,8999,2.363273324590409e-06
1581564980.615863,9055,2.3628483631910058e-06
1581564985.384671,9226,2.4088153622869868e-06
1581564985.578252,9233,2.5407557586731855e-06
1581564986.3241758,9260,2.5378496957273455e-06
1581564987.874604,9316,2.4212936295953114e-06
1581564988.759247,9348,2.5297306365246186e-06
1581564990.537264,9412,2.301467247889377e-06
1581564990.6291971,9415,2.3024151687423e-06
1581564991.263756,9435,2.239169134554686e-06
1581564992.181686,9468,2.139400294254301e-06
1581564994.61771,9547,2.3143220460042357e-06
1581564994.8127182,9554,2.3262639388121897e-06
1581564995.1727512,9567,2.2568838176084682e-06
1581564995.823919,9589,2.2244905721890973e-06
1581564997.049748,9627,2.0512179617071524e-06
1581564998.1318688,9657,2.029933739322587e-06
1581564998.971512,9680,2.1064752218080685e-06
1581564999.6319208,9698,2.020712372541311e-06
1581565002.0366259,9768,1.9319477360113524e-06
1581565004.415436,9843,2.1961150196148083e-06
1581565006.4376042,9907,1.7722195480018854e-06
1581565008.511921,9972,1.8428642079015845e-06
1581565011.242132,10058,2.0796858279936714e-06
1581565012.0951848,10084,1.7939612462214427e-06
1581565014.747345,10168,1.9402516500122147e-06
1581565018.238209,10276,1.8118468005923205e-06
1581565018.480213,10283,1.8532124386183568e-06
1581565022.1199172,10396,1.6375444147342932e-06
1581565022.2330382,10399,1.611776838217338e-06
1581565022.823298,10420,1.5083832067830372e-06
1581565024.623601,10479,1.8451559071763768e-06
1581565024.910452,10489,1.8376072148384992e-06
1581565025.028945,10493,1.8525877294450765e-06
1581565025.880537,10522,1.8635552123669186e-06
1581565026.8525262,10555,1.6952409396253643e-06
1581565028.2960289,10607,1.8390682043900597e-06
1581565028.7674189,10624,1.7295725456278888e-06
1581565029.151003,10638,1.6659488437653636e-06
1581565029.597156,10654,1.6959683080131072e-06
1581565030.069311,10671,1.818484861360048e-06
1581565031.246421,10711,1.5930572772049345e-06
1581565032.55155,10757,1.568726929690456e-06
1581565032.579131,10758,1.5688591474827263e-06
1581565033.193811,10780,1.617569751033443e-06
1581565034.250567,10815,1.6528217656741617e-06
1581565034.5600698,10825,1.6300326706186752e-06
1581565035.030101,10841,1.5865256273173145e-06
1581565035.279565,10850,1.5707391867181286e-06
1581565035.7059221,10864,1.6092421901703347e-06
1581565036.7690089,10902,1.6953276826825459e-06
1581565036.851855,10905,1.6790919517006841e-06
1581565037.8953001,10939,1.6085161860246444e-06
1581565038.008,10943,1.6164437965926481e-06
1581565038.713248,10966,1.5650766727048904e-06
1581565038.901751,10972,1.54340398239583e-06
1581565038.965101,10974,1.5348532542702742e-06
1581565040.384159,11014,1.4208360425982391e-06
1581565040.549514,11020,1.4029224075784441e-06
1581565040.926507,11033,1.391551904816879e-06
1581565041.0641642,11038,1.4107757806414156e-06
1581565042.994756,11102,1.4441982330026804e-06
1581565043.522391,11121,1.4823538094788091e-06
1581565043.772337,11130,1.5372924053735915e-06
1581565045.0165062,11175,1.5658079064451158e-06
1581565045.655194,11198,1.6115859580168035e-06
1581565045.727031,11200,1.6072876860562246e-06
1581565045.754387,11201,1.6070129049694515e-06
1581565047.386574,11260,1.6299982235068455e-06
1581565051.789692,11419,1.5717287169536576e-06
1581565053.263007,11472,1.404601334797917e-06
1581565053.814972,11492,1.4743044403076055e-06
1581565054.6719549,11523,1.6447398820673698e-06
1581565054.920704,11532,1.6076900237749214e-06
1581565055.393933,11549,1.5326781976909842e-06
1581565055.8852081,11566,1.4169022506393958e-06
1581565056.854361,11597,1.3818131492371322e-06
1581565058.329021,11648,1.5926847254377208e-06
1581565058.9773288,11671,1.5130556221265579e-06
1581565059.366982,11685,1.5552243439742597e-06
1581565061.648098,11759,1.3622981214211904e-06
1581565064.824932,11873,1.490752197241818e-06
1581565067.5084622,11969,1.4042298062122427e-06
1581565067.646997,11974,1.3649722632180783e-06
1581565068.665986,12010,1.4793802165513625e-06
1581565069.5278249,12041,1.4489002069240087e-06
1581565072.213639,12138,1.4799577456869883e-06
1581565072.929775,12164,1.5982736840669531e-06
1581565073.0400891,12168,1.5984239780664211e-06
1581565073.492595,12184,1.5491408476009383e-06
1581565074.665889,12226,1.4222279105524649e-06
1581565076.4400718,12290,1.4093168374529341e-06
1581565076.522628,12293,1.4446119394051493e-06
1581565076.965943,12309,1.492235014666221e-06
1581565079.758259,12405,1.4211894949767157e-06
1581565081.417742,12458,1.4902875591360498e-06
1581565084.09335,12553,1.513426809651719e-06
1581565087.3657348,12671,1.4121347930995398e-06
1581565088.20479,12699,1.3807318737235619e-06
1581565089.8831658,12758,1.3074361504550325e-06
1581565091.245396,12805,1.5352928812717437e-06
1581565093.251092,12877,1.4100048701948253e-06
1581565093.776275,12896,1.2714241393041448e-06
1581565094.965454,12939,1.3989728131491574e-06
1581565095.51473,12959,1.3725071994485916e-06
1581565097.134662,13017,1.3441484725262853e-06
1581565097.601951,13034,1.3903064655096387e-06
1581565098.35459,13061,1.3441622286336496e-06
1581565098.935107,13082,1.3240212410892127e-06
1581565099.26433,13094,1.2991933999728644e-06
1581565099.67941,13109,1.30664489006449e-06
1581565099.79168,13113,1.3465942174661905e-06
1581565100.259702,13130,1.3943769090474234e-06
1581565101.258506,13166,1.412721530869021e-06
1581565102.552926,13206,1.310015250055585e-06
1581565103.46397,13239,1.3710598523175577e-06
1581565106.492314,13349,1.5219536635413533e-06
1581565107.9546418,13402,1.43958118314913e-06
1581565108.065003,13406,1.4317367913463386e-06
1581565108.61873,13426,1.4721182424182189e-06
1581565109.9720662,13475,1.4893115576342097e-06
1581565110.783306,13504,1.3811636563332286e-06
1581565111.945733,13546,1.4716740679432405e-06
1581565113.366261,13597,1.5125725667530787e-06
1581565113.9994051,13620,1.4331601505546132e-06
1581565115.6319191,13679,1.5610621630912647e-06
1581565115.7142882,13682,1.5798740378158982e-06
1581565117.511404,13747,1.4270918882175465e-06
1581565118.319169,13776,1.3855145652996725e-06
1581565119.288683,13810,1.36447170007159e-06
1581565120.255837,13845,1.2625829413082101e-06
1581565120.892689,13868,1.2753760074701859e-06
1581565121.333172,13884,1.3353454733078252e-06
1581565123.535361,13957,1.3483360135069233e-06
1581565124.063859,13976,1.3839786561220535e-06
1581565124.669973,13998,1.3748721130468766e-06
1581565126.968004,14080,1.428196810593363e-06
1581565130.866362,14221,1.345693931398273e-06
1581565132.688916,14287,1.3647276091433014e-06
1581565132.879979,14294,1.3979873756397865e-06
1581565133.134219,14303,1.4353739743455662e-06
1581565133.601425,14320,1.4270676729211118e-06
