Wall time,Step,Value
1575498385.46052,42,4.781113148055738e-06
1575498385.539833,45,4.767303835251369e-06
1575498386.256882,71,4.6476970965159126e-06
1575498386.873228,94,4.545560386759462e-06
1575498392.442678,158,4.286086550564505e-06
1575498394.155856,167,4.253025963407708e-06
1575498398.358659,229,4.0425939005217515e-06
1575498398.513193,234,4.026589977002004e-06
1575498399.077413,255,3.961852144129807e-06
1575498399.83878,273,3.909654424205655e-06
1575498401.965,308,3.8127070638438454e-06
1575498402.022559,310,3.8071950712037506e-06
1575498402.2888792,318,3.7851852994208457e-06
1575498405.760424,421,3.5374796425458044e-06
1575498407.588982,460,3.4568211049190722e-06
1575498408.392888,474,3.4292957025172655e-06
1575498411.376354,536,3.315184358143597e-06
1575498413.19784,579,3.243581204515067e-06
1575498413.518966,586,3.2322855076927226e-06
1575498416.468273,634,3.1575309549225494e-06
1575498416.912717,647,3.139010232189321e-06
1575498417.8185768,671,3.1041570309753297e-06
1575498419.064089,714,3.0465168947557686e-06
1575498419.2670379,722,3.035877170987078e-06
1575498420.89008,771,2.9753398393950192e-06
1575498421.253292,785,2.9595321393571794e-06
1575498421.750478,802,2.940530748674064e-06
1575498421.937334,808,2.93399830297858e-06
1575498423.672878,836,2.904479970311513e-06
1575498426.943688,945,2.799763251459808e-06
1575498427.626794,971,2.7763135221903212e-06
1575498428.805228,1014,2.738575858529657e-06
1575498430.711494,1066,2.6972966225002892e-06
1575498431.8955672,1104,2.669036803126801e-06
1575498434.054471,1180,2.6157322281505913e-06
1575498436.7785301,1261,2.561285782576306e-06
1575498438.4237099,1316,2.5278300199715886e-06
1575498438.5032141,1319,2.5260653728764737e-06
1575498439.094677,1333,2.517570464988239e-06
1575498439.281739,1337,2.5151225599984173e-06
1575498440.5715032,1385,2.4884534468583297e-06
1575498440.7759628,1392,2.4848002340149833e-06
1575498441.91411,1436,2.462224983901251e-06
1575498442.983691,1466,2.447523684168118e-06
1575498444.43092,1523,2.4211376512539573e-06
1575498445.142339,1552,2.408699629086186e-06
1575498445.543215,1568,2.402292238912196e-06
1575498445.950686,1584,2.395719775449834e-06
1575498447.887297,1640,2.373324150539702e-06
1575498449.157463,1691,2.3532172690465814e-06
1575498449.6258261,1709,2.3454656457033707e-06
1575498449.880532,1718,2.3418845103151398e-06
1575498450.272864,1734,2.3356499241344864e-06
1575498450.347359,1737,2.334576493012719e-06
1575498451.849748,1781,2.319913164683385e-06
1575498453.6494021,1844,2.2995939161774004e-06
1575498454.321486,1866,2.293021225341363e-06
1575498454.526767,1869,2.292012823090772e-06
1575498454.9874592,1877,2.2895010260981508e-06
1575498456.26146,1917,2.2773729142500088e-06
1575498456.8876932,1934,2.272470965181128e-06
1575498457.435126,1947,2.268907564939582e-06
1575498460.730144,2036,2.2450822143582627e-06
1575498462.3192918,2096,2.2309973246592563e-06
1575498464.9352,2187,2.2114427338237874e-06
1575498465.619741,2199,2.2087356228439603e-06
1575498466.673355,2231,2.2024014469934627e-06
1575498466.8266098,2237,2.2013157376932213e-06
1575498467.331421,2257,2.1976852622174192e-06
1575498467.45463,2262,2.196837613155367e-06
1575498468.6421251,2307,2.18904938265041e-06
1575498468.934007,2319,2.1870578166272026e-06
1575498469.816777,2354,2.180922137995367e-06
1575498471.0082922,2389,2.175650706703891e-06
1575498471.0402849,2390,2.1755042780569056e-06
1575498472.356504,2436,2.168979335692711e-06
1575498472.770916,2453,2.1659066078427713e-06
1575498472.819179,2455,2.1656126136804232e-06
1575498472.9378738,2460,2.164899342460558e-06
1575498473.545713,2485,2.1615626337734284e-06
1575498473.5695481,2486,2.1614212073473027e-06
1575498473.863214,2498,2.1599723822873784e-06
1575498473.9852731,2503,2.1593343717540847e-06
1575498474.71329,2532,2.1557898435276e-06
1575498475.0728881,2547,2.1537812244787347e-06
1575498475.216869,2553,2.152856495740707e-06
1575498478.5031092,2685,2.138319359801244e-06
1575498479.953453,2740,2.1336420559237013e-06
1575498481.2388322,2789,2.129656422766857e-06
1575498484.0521421,2896,2.121426632584189e-06
1575498486.043575,2967,2.1162293251109077e-06
1575498487.745014,3011,2.1140701846888987e-06
1575498488.4248161,3038,2.112927859343472e-06
1575498488.4955661,3041,2.1128264506842243e-06
1575498489.974415,3099,2.1112866761541227e-06
1575498491.56215,3161,2.1100065623613773e-06
1575498492.4054809,3196,2.1097953322168905e-06
1575498493.2293582,3230,2.108725993821281e-06
1575498493.569262,3244,2.108714170390158e-06
1575498493.620366,3246,2.108690523527912e-06
1575498493.64412,3247,2.1086800643388415e-06
1575498495.3263779,3305,2.1084085801703623e-06
1575498500.8732429,3480,2.1100188405398512e-06
1575498504.5445619,3600,2.1142741388757713e-06
1575498505.19595,3618,2.1144003312656423e-06
1575498505.250016,3620,2.1144105630810373e-06
1575498507.6269372,3670,2.11632800528605e-06
1575498510.439886,3726,2.1192420263105305e-06
1575498510.992703,3741,2.1198329704930075e-06
1575498513.801901,3793,2.122812702509691e-06
1575498514.697341,3814,2.123920694430126e-06
1575498514.940326,3821,2.12432814805652e-06
1575498518.22827,3928,2.131570909114089e-06
1575498519.134063,3956,2.133501311618602e-06
1575498521.421966,3984,2.1354987893573707e-06
1575498522.955903,4036,2.1395778730948223e-06
1575498525.6547651,4098,2.145066673620022e-06
1575498528.4702919,4196,2.153298055418418e-06
1575498529.26528,4227,2.1566138457274064e-06
1575498529.385642,4232,2.1571827346633654e-06
1575498531.9324749,4304,2.16432340494066e-06
1575498532.591373,4317,2.1656721855833894e-06
1575498532.757619,4319,2.1658779587596655e-06
1575498535.9430668,4400,2.175999497922021e-06
1575498540.3879092,4492,2.187720838264795e-06
1575498541.534981,4509,2.1896478301641764e-06
1575498542.319606,4530,2.192362899222644e-06
1575498546.204705,4628,2.205271812272258e-06
1575498547.423551,4664,2.2104184154159157e-06
1575498547.556635,4668,2.2110073132353136e-06
1575498548.073647,4676,2.2123178951005684e-06
1575498550.925408,4750,2.2223227915674215e-06
1575498552.067311,4788,2.228217226729612e-06
1575498552.747371,4802,2.230402060376946e-06
1575498554.354111,4840,2.2361869014275726e-06
1575498554.872803,4852,2.23806569010776e-06
1575498556.519187,4894,2.2444367004936794e-06
1575498558.6333811,4962,2.25518670049496e-06
1575498558.8725262,4971,2.256740572192939e-06
1575498558.9539242,4974,2.25726944336202e-06
1575498561.465895,5050,2.2696096948493505e-06
1575498561.531013,5052,2.2699509827361908e-06
1575498563.0862741,5106,2.2788933620176977e-06
1575498564.417142,5134,2.2835856725578196e-06
1575498567.5918322,5239,2.3021657398203388e-06
1575498570.5353549,5329,2.3202101147035137e-06
1575498570.932251,5345,2.3233310457726475e-06
1575498571.297635,5359,2.326237336092163e-06
1575498572.960077,5420,2.337834075660794e-06
1575498575.959169,5517,2.3580466859129956e-06
1575498577.0851982,5549,2.364600959481322e-06
1575498581.2579331,5664,2.389012479397934e-06
1575498581.8231392,5679,2.3923087155708345e-06
1575498583.621911,5723,2.40230451709067e-06
1575498586.2608871,5808,2.42093892666162e-06
1575498586.90678,5825,2.424713102300302e-06
1575498586.995477,5828,2.4253790797956754e-06
1575498588.314323,5864,2.4332236989721423e-06
1575498588.495487,5871,2.4348219085368328e-06
1575498589.394836,5907,2.442523054924095e-06
1575498589.901858,5928,2.4475880309182685e-06
1575498591.65059,5990,2.462531256242073e-06
1575498592.3135738,6010,2.467103513481561e-06
1575498596.4883358,6121,2.492775138307479e-06
1575498596.777684,6131,2.4954622404038673e-06
1575498598.765524,6200,2.512193304937682e-06
1575498599.1335418,6213,2.515586174922646e-06
1575498599.289873,6219,2.5170090793835698e-06
1575498599.650251,6232,2.520252337490092e-06
1575498601.754459,6289,2.5350113901367877e-06
1575498603.2283058,6312,2.540829427744029e-06
1575498603.365601,6317,2.5420222300454043e-06
1575498605.32864,6376,2.5567189823050285e-06
1575498606.047879,6400,2.5629904030211037e-06
1575498609.7558541,6496,2.588515371826361e-06
1575498611.279167,6520,2.594950956336106e-06
1575498613.072263,6574,2.6092882308148546e-06
1575498614.394281,6603,2.6169948341703275e-06
1575498616.065459,6657,2.6318555228499463e-06
1575498617.38509,6696,2.642592789925402e-06
1575498617.458067,6699,2.643331072249566e-06
1575498617.78395,6711,2.6466404960956424e-06
1575498618.644332,6742,2.6564296149445e-06
1575498623.8350039,6846,2.685643949007499e-06
1575498624.079933,6854,2.6879361030296423e-06
1575498624.496031,6869,2.6920668005914195e-06
1575498627.94176,6966,2.7199318992643384e-06
1575498629.632697,6992,2.7276591936242767e-06
1575498630.6372979,7014,2.734269173743087e-06
1575498640.118884,7106,2.7613116344582522e-06
1575498642.178072,7114,2.7635719561658334e-06
1575498647.473571,7155,2.775776920316275e-06
1575498650.303551,7216,2.794610281853238e-06
1575498651.655912,7247,2.8039592052664375e-06
1575498654.023154,7311,2.8238089271326317e-06
1575498655.429434,7339,2.832753125403542e-06
1575498655.467335,7340,2.8331114663160406e-06
1575498656.0539892,7359,2.8393365028023254e-06
1575498656.67824,7382,2.846688403224107e-06
1575498657.2503302,7401,2.8529673272714717e-06
1575498659.958015,7450,2.868895762730972e-06
1575498660.6160629,7460,2.8720626232825452e-06
1575498660.704688,7463,2.8729989480780205e-06
1575498661.173711,7478,2.8776748877135105e-06
1575498662.0342689,7511,2.887951268348843e-06
1575498667.630187,7687,2.943571189462091e-06
1575498667.83633,7693,2.9454981813614722e-06
1575498672.066729,7760,2.9669731702597346e-06
1575498673.592858,7788,2.976614496219554e-06
1575498673.9634728,7798,2.9799957701470703e-06
1575498675.149285,7833,2.9922696285211714e-06
1575498678.1087182,7900,3.0149058147799224e-06
1575498679.2447622,7932,3.0252138003561413e-06
1575498681.961859,7991,3.0449773475993425e-06
1575498683.489645,8026,3.0573214644391555e-06
1575498684.6410089,8049,3.0651224278699374e-06
1575498685.4507678,8066,3.071141691179946e-06
1575498689.252555,8180,3.111280648226966e-06
1575498690.549033,8215,3.1237002531270264e-06
1575498690.7158139,8221,3.1258396120392717e-06
1575498693.2026172,8290,3.1511867746303324e-06
1575498694.6282072,8334,3.1677891456638463e-06
1575498695.8691351,8363,3.1785630199010484e-06
1575498696.007356,8368,3.18035426971619e-06
1575498696.27809,8377,3.183627541147871e-06
1575498700.217895,8467,3.2159666716324864e-06
1575498700.290451,8470,3.21706625072693e-06
1575498701.0074382,8498,3.227359002266894e-06
1575498701.2510521,8508,3.230829406675184e-06
1575498704.049076,8566,3.2516466035303893e-06
1575498705.4177,8601,3.264514361944748e-06
1575498706.3331032,8634,3.276905090388027e-06
1575498706.359621,8635,3.2772766189737013e-06
1575498708.18172,8695,3.2997995731420815e-06
1575498711.5843909,8819,3.347835672684596e-06
1575498711.655839,8822,3.349092594362446e-06
1575498713.1992278,8878,3.3715864447003696e-06
1575498713.9287949,8904,3.382262548257131e-06
1575498714.005457,8907,3.3835056001407793e-06
1575498714.590378,8928,3.3921039630513405e-06
1575498715.2589262,8935,3.394738996576052e-06
1575498718.7934148,8993,3.417469997657463e-06
1575498718.955347,8999,3.419764198042685e-06
1575498720.6546829,9055,3.4425672765792115e-06
1575498727.0144792,9226,3.512801640681573e-06
1575498727.1833541,9233,3.515448497637408e-06
1575498727.936335,9260,3.5264797588752117e-06
1575498729.658429,9316,3.5490629670675844e-06
1575498730.549376,9348,3.562486654118402e-06
1575498732.358469,9412,3.5891937386622885e-06
1575498732.4579,9415,3.5904095057048835e-06
1575498733.0791621,9435,3.59844375452667e-06
1575498734.023757,9468,3.6125297810940538e-06
1575498736.696318,9547,3.6464614368014736e-06
1575498736.9667032,9554,3.6496546726993984e-06
1575498737.38445,9567,3.6557671592163388e-06
1575498738.196224,9589,3.6667629501607735e-06
1575498739.5123992,9627,3.6848284707957646e-06
1575498740.389387,9657,3.6990238641010365e-06
1575498741.0397599,9680,3.709979637278593e-06
1575498741.520421,9698,3.718721472978359e-06
1575498743.777966,9768,3.751694293896435e-06
1575498745.730447,9843,3.7859008443774655e-06
1575498747.31373,9907,3.815715899690986e-06
1575498749.29191,9972,3.847464085993124e-06
1575498751.8646631,10058,3.889214895025361e-06
1575498752.5723672,10084,3.901657692040317e-06
1575498756.081374,10168,3.9419442146026995e-06
1575498760.672411,10276,3.995265160483541e-06
1575498761.037884,10283,3.998843112640316e-06
1575498766.896391,10396,4.0591876313555986e-06
1575498767.05197,10399,4.060849732923089e-06
1575498768.090462,10420,4.072826413903385e-06
1575498769.845803,10479,4.1052048800338525e-06
1575498770.153704,10489,4.110425379622029e-06
1575498770.271331,10493,4.112579517823178e-06
1575498771.614072,10522,4.127957708988106e-06
1575498773.04409,10555,4.145553248235956e-06
1575498775.2044318,10607,4.173791239736602e-06
1575498775.764906,10624,4.18297804571921e-06
1575498776.1423209,10638,4.190497747913469e-06
1575498776.68001,10654,4.19935759055079e-06
1575498777.1835752,10671,4.20818651036825e-06
1575498778.6177,10711,4.228256784699624e-06
1575498779.928562,10757,4.252731287124334e-06
1575498779.96893,10758,4.253274255461292e-06
1575498780.6148999,10780,4.26487667937181e-06
1575498781.63244,10815,4.28248267780873e-06
1575498782.017269,10825,4.287868250685278e-06
1575498782.8803399,10841,4.2960423343174625e-06
1575498783.157492,10850,4.300497039366746e-06
1575498783.6723342,10864,4.307644303480629e-06
1575498784.854379,10902,4.326710495661246e-06
1575498784.928468,10905,4.328326667746296e-06
1575498786.103143,10939,4.345843990449794e-06
1575498786.211209,10943,4.347874892118853e-06
1575498786.773998,10966,4.359368631412508e-06
1575498786.9321978,10972,4.3623463170661125e-06
1575498787.000792,10974,4.363286279840395e-06
1575498788.689943,11014,4.3855129661096726e-06
1575498788.85357,11020,4.38922052126145e-06
1575498789.188562,11033,4.396900749270571e-06
1575498789.307616,11038,4.399772478791419e-06
1575498791.221911,11102,4.4375660763762426e-06
1575498791.754386,11121,4.448429081094218e-06
1575498791.970813,11130,4.453573637874797e-06
1575498793.058209,11175,4.479964445636142e-06
1575498793.6622112,11198,4.49321396445157e-06
1575498793.71532,11200,4.494390395848313e-06
1575498793.743434,11201,4.495000212045852e-06
1575498795.407446,11260,4.528931185632246e-06
1575498800.051153,11419,4.618521415977739e-06
1575498801.3277419,11472,4.648390586226014e-06
1575498801.879922,11492,4.659118985728128e-06
1575498802.697409,11523,4.6763711907260586e-06
1575498802.996638,11532,4.68121470476035e-06
1575498803.5154781,11549,4.690708919952158e-06
1575498803.9864378,11566,4.701085799752036e-06
1575498805.906115,11597,4.718337550002616e-06
1575498809.571826,11648,4.746875674754847e-06
1575498810.27762,11671,4.759695457323687e-06
1575498810.6258008,11685,4.7672001528553665e-06
1575498813.153536,11759,4.814661224372685e-06
1575498817.294453,11873,4.890374839305878e-06
1575498821.9617422,11969,4.9522177505423315e-06
1575498822.1070132,11974,4.955257281835657e-06
1575498823.9207191,12010,4.978801825927803e-06
1575498825.144734,12041,4.998097665520618e-06
1575498828.389222,12138,5.05709795106668e-06
1575498829.4813051,12164,5.072336080047535e-06
1575498829.609656,12168,5.074681666883407e-06
1575498830.037861,12184,5.08418861500104e-06
1575498831.338562,12226,5.110934125696076e-06
1575498833.16029,12290,5.150045581103768e-06
1575498833.237199,12293,5.151930054125842e-06
1575498833.721787,12309,5.1614792937471066e-06
1575498836.50271,12405,5.2141813284833916e-06
1575498838.256748,12458,5.245840839052107e-06
1575498841.210465,12553,5.311451786838006e-06
1575498845.530463,12671,5.3934713832859416e-06
1575498847.600943,12699,5.412016889749793e-06
1575498849.633897,12758,5.451649485621601e-06
1575498850.85862,12805,5.48201796846115e-06
1575498852.807174,12877,5.525966116692871e-06
1575498853.307254,12896,5.537709057534812e-06
1575498854.588947,12939,5.563427293964196e-06
1575498855.115656,12959,5.575985596806277e-06
1575498856.735612,13017,5.612110271613346e-06
1575498857.216962,13034,5.622193839371903e-06
1575498858.335126,13061,5.638902166538173e-06
1575498859.025546,13082,5.6513222261855844e-06
1575498859.45315,13094,5.658605914504733e-06
1575498859.934425,13109,5.668307039741194e-06
1575498860.043649,13113,5.670709015248576e-06
