Wall time,Step,Value
1581569352.8905878,42,3.0932917525205994e-06
1581569352.964139,45,3.08304765894718e-06
1581569353.647779,71,2.9977888971188804e-06
1581569354.232403,94,2.925901299022371e-06
1581569355.8627,158,2.7463859169074567e-06
1581569356.095798,167,2.7241599127592053e-06
1581569357.679959,229,2.5821680083026877e-06
1581569357.80528,234,2.5716874461068073e-06
1581569358.336629,255,2.527860488044098e-06
1581569358.8128939,273,2.4925839170464315e-06
1581569359.701143,308,2.4298974494740833e-06
1581569359.751464,310,2.426583932901849e-06
1581569359.953221,318,2.4136727461154805e-06
1581569362.55685,421,2.2596341295866296e-06
1581569363.534528,460,2.208607156717335e-06
1581569363.893192,474,2.1916214336670237e-06
1581569365.4590888,536,2.1231612663541455e-06
1581569366.56239,579,2.079215164485504e-06
1581569366.738587,586,2.0725390186271397e-06
1581569367.952252,634,2.0289962776587345e-06
1581569368.282534,647,2.018390887315036e-06
1581569368.884046,671,1.9996793980681105e-06
1581569369.969267,714,1.968695642062812e-06
1581569370.1705332,722,1.9630451788543724e-06
1581569371.680196,771,1.9294488993182313e-06
1581569372.0317109,785,1.920252316267579e-06
1581569372.457935,802,1.9094663912255783e-06
1581569372.608803,808,1.9059098121942952e-06
1581569373.314121,836,1.890289695438696e-06
1581569376.0615869,945,1.8363349454375566e-06
1581569376.7128,971,1.825521280807152e-06
1581569377.801986,1014,1.8075429579766933e-06
1581569379.119055,1066,1.7864740584627725e-06
1581569380.107877,1104,1.7720149116939865e-06
1581569382.019837,1180,1.748287331793108e-06
1581569384.323755,1261,1.7255568991458858e-06
1581569385.722547,1316,1.711802156023623e-06
1581569385.7983592,1319,1.711107870505657e-06
1581569386.1627462,1333,1.7078828022931702e-06
1581569386.269907,1337,1.706991838545946e-06
1581569387.4851441,1385,1.6950509689195314e-06
1581569387.660768,1392,1.6933627193793654e-06
1581569388.773055,1436,1.6838548617670313e-06
1581569389.775239,1466,1.6779777070041746e-06
1581569391.2138538,1523,1.6686699382262304e-06
1581569391.946492,1552,1.6642774198771804e-06
1581569392.348285,1568,1.6618841982563026e-06
1581569392.748561,1584,1.6598170304860105e-06
1581569394.172278,1640,1.6539637499590754e-06
1581569395.471803,1691,1.6484320894960547e-06
1581569395.930203,1709,1.646795567467052e-06
1581569396.156093,1718,1.645892211854516e-06
1581569396.578531,1734,1.644416784074565e-06
1581569396.654191,1737,1.6441348407170153e-06
1581569397.779998,1781,1.6399649211962242e-06
1581569399.378745,1844,1.6352848888345761e-06
1581569399.9345899,1866,1.6338582327080076e-06
1581569400.0105758,1869,1.6336957742169034e-06
1581569400.209523,1877,1.6331669030478224e-06
1581569401.2191732,1917,1.6309637658196152e-06
1581569401.64857,1934,1.629407506698044e-06
