Wall time,Step,Value
1581569352.890655,42,4.804637228517095e-06
1581569352.964206,45,4.790243110619485e-06
1581569353.647872,71,4.6680884224770125e-06
1581569354.232497,94,4.5645306272490416e-06
1581569355.8627672,158,4.308468305680435e-06
1581569356.095907,167,4.275012997823069e-06
1581569357.680037,229,4.0601812543172855e-06
1581569357.805346,234,4.044018623972079e-06
1581569358.336721,255,3.978485437983181e-06
1581569358.81296,273,3.924859811377246e-06
1581569359.701236,308,3.828292392427102e-06
1581569359.751557,310,3.823024144367082e-06
1581569359.953287,318,3.8021153159206733e-06
1581569362.556916,421,3.5556386137614027e-06
1581569363.534595,460,3.474683353488217e-06
1581569363.893259,474,3.4463910196791403e-06
1581569365.459156,536,3.3326684842904797e-06
1581569366.5624561,579,3.259425511714653e-06
1581569366.738677,586,3.2480618301633513e-06
1581569367.952346,634,3.173403229084215e-06
1581569368.282625,647,3.1548038350592833e-06
1581569368.8841128,671,3.1213514830596978e-06
1581569369.969333,714,3.06380547954177e-06
1581569370.170623,722,3.0537212296621874e-06
1581569371.6802628,771,2.993545194840408e-06
1581569372.031778,785,2.9774780614388874e-06
1581569372.458029,802,2.9587386052298825e-06
1581569372.608896,808,2.952331669803243e-06
1581569373.314187,836,2.9215268568805186e-06
1581569376.0616808,945,2.8129652491770685e-06
1581569376.712893,971,2.7900696295546368e-06
1581569377.8021219,1014,2.753541821221006e-06
1581569379.119122,1066,2.7106020752398763e-06
1581569380.1079428,1104,2.681210162336356e-06
1581569382.0199091,1180,2.6257428089593304e-06
1581569384.323833,1261,2.5720185021782527e-06
1581569385.7226439,1316,2.5393112537130946e-06
1581569385.79845,1319,2.5376034500368405e-06
1581569386.162812,1333,2.5292740701843286e-06
1581569386.269973,1337,2.5269343950640177e-06
1581569387.4852102,1385,2.4992855287564453e-06
1581569387.6608388,1392,2.495391299817129e-06
1581569388.773121,1436,2.4713435777812265e-06
1581569389.775305,1466,2.4556404696340906e-06
1581569391.213959,1523,2.4275336727441754e-06
1581569391.946583,1552,2.41434440795274e-06
1581569392.3483782,1568,2.4075739020190667e-06
1581569392.748682,1584,2.400588755335775e-06
1581569394.1723719,1640,2.377964847255498e-06
1581569395.471887,1691,2.3575391878694063e-06
1581569395.9302988,1709,2.350879412915674e-06
1581569396.156213,1718,2.3477848571928916e-06
1581569396.5786262,1734,2.342634161323076e-06
1581569396.654264,1737,2.341639401493012e-06
1581569397.7801,1781,2.327085894648917e-06
1581569399.378838,1844,2.3055872588884085e-06
1581569399.9346812,1866,2.298675553902285e-06
1581569400.010674,1869,2.2977569642534945e-06
1581569400.209589,1877,2.295468675583834e-06
1581569401.219239,1917,2.283240064571146e-06
1581569401.648648,1934,2.2780750441597775e-06
1581569401.979152,1947,2.2741749035048997e-06
1581569404.218636,2036,2.2495198663818883e-06
1581569405.737427,2096,2.235361762359389e-06
1581569408.056766,2187,2.21513505493931e-06
1581569408.623025,2199,2.212609615526162e-06
1581569409.4390678,2231,2.206913904956309e-06
1581569409.615875,2237,2.205624241469195e-06
1581569410.201931,2257,2.2014467049302766e-06
1581569410.3288472,2262,2.2004874153935816e-06
1581569411.483249,2307,2.1930827642790973e-06
1581569411.786655,2319,2.1910022951487917e-06
1581569412.674679,2354,2.18501213566924e-06
1581569413.56476,2389,2.178799377361429e-06
1581569413.5905879,2390,2.1786092929687584e-06
1581569414.757113,2436,2.171709866161109e-06
1581569415.186591,2453,2.1694072529498953e-06
1581569415.235908,2455,2.1691353140340652e-06
1581569415.360076,2460,2.168500031984877e-06
1581569415.989907,2485,2.1650514554494293e-06
1581569416.0153432,2486,2.1649248083122075e-06
1581569416.338376,2498,2.1633452433889033e-06
1581569416.4703639,2503,2.1625819499604404e-06
1581569417.2352982,2532,2.158734787371941e-06
1581569417.616483,2547,2.157023573090555e-06
1581569417.7732859,2553,2.156303253286751e-06
1581569422.476589,2685,2.1418022697616834e-06
1581569423.862015,2740,2.136585862899665e-06
1581569425.091093,2789,2.132335339410929e-06
1581569427.797892,2896,2.123211288562743e-06
1581569429.89376,2967,2.119444843629026e-06
1581569431.015438,3011,2.1172829747229116e-06
1581569431.697557,3038,2.116214091074653e-06
1581569431.772831,3041,2.116119276251993e-06
1581569433.229387,3099,2.1149487565708114e-06
1581569434.79626,3161,2.1129585547896568e-06
1581569435.6796212,3196,2.1117052710906137e-06
1581569436.5338728,3230,2.1111964088049717e-06
1581569436.883542,3244,2.1110311081429245e-06
1581569436.934927,3246,2.1110176930960733e-06
1581569436.960806,3247,2.11101087188581e-06
1581569438.423529,3305,2.1105472569615813e-06
1581569442.868413,3480,2.1125372313690605e-06
1581569445.8852742,3600,2.116083351211273e-06
1581569446.346698,3618,2.11671522265533e-06
1581569446.396443,3620,2.116774339810945e-06
1581569447.934721,3670,2.118897555192234e-06
1581569449.418726,3726,2.1218181700533023e-06
1581569449.8032908,3741,2.122725391018321e-06
1581569451.148876,3793,2.125754690496251e-06
1581569451.676436,3814,2.127233074133983e-06
1581569451.852701,3821,2.127588686562376e-06
1581569454.57536,3928,2.1344194465200417e-06
1581569455.279104,3956,2.1366154214774724e-06
1581569455.986884,3984,2.138716354238568e-06
1581569457.330852,4036,2.1428179479698883e-06
1581569458.930466,4098,2.1487210233317455e-06
1581569461.416472,4196,2.157478093067766e-06
1581569462.2019231,4227,2.160302983611473e-06
1581569462.326724,4232,2.1607220332953148e-06
1581569464.140979,4304,2.168618038922432e-06
1581569464.470588,4317,2.1700507204513997e-06
1581569464.522558,4319,2.1702974208892556e-06
1581569466.845381,4400,2.1797814042656682e-06
1581569469.172608,4492,2.191818111896282e-06
1581569469.6108658,4509,2.194376293118694e-06
1581569470.138815,4530,2.197025423811283e-06
1581569472.612185,4628,2.210157390436507e-06
1581569473.514154,4664,2.215494077972835e-06
1581569473.615065,4668,2.2161714241519803e-06
1581569473.814506,4676,2.2175058802531566e-06
1581569475.671804,4750,2.2286403691396117e-06
1581569476.6279209,4788,2.234448174931458e-06
1581569476.9799502,4802,2.23647793973214e-06
1581569477.92974,4840,2.2421713765652385e-06
1581569478.234305,4852,2.243906692456221e-06
1581569479.304011,4894,2.2504536900669336e-06
1581569481.010221,4962,2.261057943542255e-06
1581569481.238688,4971,2.2626459212915506e-06
1581569481.31326,4974,2.263149781356333e-06
1581569483.2233942,5050,2.2764052118873224e-06
1581569483.27339,5052,2.276737859574496e-06
1581569484.624344,5106,2.2854528651805595e-06
1581569485.575953,5134,2.2901451757206814e-06
1581569488.2047381,5239,2.3091247385309543e-06
1581569490.494101,5329,2.3263321509148227e-06
1581569490.895076,5345,2.3293166577786906e-06
1581569491.244805,5359,2.3320046693697805e-06
1581569492.7726688,5420,2.3444627004209906e-06
1581569495.195571,5517,2.3642141968593933e-06
1581569495.990947,5549,2.3707395939709386e-06
1581569498.8609002,5664,2.394508783254423e-06
1581569499.2397928,5679,2.397661091890768e-06
1581569500.340436,5723,2.407274450888508e-06
1581569502.465425,5808,2.4261107682832517e-06
1581569502.942997,5825,2.4298453809024068e-06
1581569503.032075,5828,2.430447693768656e-06
1581569504.418695,5864,2.438807541693677e-06
1581569504.628491,5871,2.4404655505350092e-06
1581569505.635978,5907,2.4488119834131794e-06
1581569506.176752,5928,2.453933575452538e-06
1581569507.8751009,5990,2.4685061816853704e-06
1581569508.4130292,6010,2.4729040433157934e-06
1581569511.618876,6121,2.5000927053042687e-06
1581569511.898474,6131,2.5024662591022206e-06
1581569515.022763,6200,2.519088411645498e-06
1581569515.500787,6213,2.522224349377211e-06
1581569515.707468,6219,2.5236593046429334e-06
1581569516.1085298,6232,2.5268593617511215e-06
1581569517.914314,6289,2.5401534458069364e-06
1581569518.665248,6312,2.5457934498263057e-06
1581569518.8257432,6317,2.547004669395392e-06
1581569520.5449228,6376,2.5609820113459136e-06
1581569521.242676,6400,2.5665920020401245e-06
1581569524.162529,6496,2.5914821435435442e-06
1581569524.8837981,6520,2.597819502625498e-06
1581569526.687026,6574,2.6122168037545634e-06
1581569527.9836779,6603,2.6195998543698806e-06
1581569529.7466109,6657,2.634143811519607e-06
1581569530.9251761,6696,2.645004769874504e-06
1581569531.013697,6699,2.6458853881194955e-06
1581569531.3629792,6711,2.6494055873627076e-06
1581569532.262978,6742,2.6583300041238545e-06
1581569535.2996259,6846,2.6883947157330113e-06
1581569535.52866,6854,2.690793735382613e-06
1581569535.992216,6869,2.6948036975227296e-06
1581569538.8475149,6966,2.724006435528281e-06
1581569539.6029499,6992,2.73166733677499e-06
1581569540.26418,7014,2.738602915997035e-06
1581569542.861102,7106,2.765691988315666e-06
1581569543.0694761,7114,2.768030071820249e-06
1581569544.244689,7155,2.7799223971669562e-06
1581569545.8315752,7216,2.7986168333882233e-06
1581569546.622644,7247,2.8087242753827013e-06
1581569548.2868721,7311,2.827348680511932e-06
1581569549.254733,7339,2.8360743726807414e-06
1581569549.283238,7340,2.8364001991576515e-06
1581569549.823811,7359,2.842738922481658e-06
1581569550.424295,7382,2.850151759048458e-06
1581569550.93771,7401,2.8559820748341735e-06
1581569552.3277981,7450,2.872064442271949e-06
1581569552.601568,7460,2.875334303098498e-06
1581569552.6944718,7463,2.8762717647623504e-06
1581569553.146227,7478,2.8809884042857448e-06
1581569554.0289621,7511,2.891364829338272e-06
1581569558.48975,7687,2.950033376691863e-06
