Wall time,Step,Value
1575498384.260962,5,3.2567500056757126e-06
1575498384.775677,18,3.212001502106432e-06
1575498384.928003,24,3.190745928804972e-06
1575498385.408973,40,3.1336699066741858e-06
1575498385.460452,42,3.1266433779819636e-06
1575498385.539621,45,3.1162583127297694e-06
1575498385.756927,53,3.089414803980617e-06
1575498385.8423622,56,3.0793892165092984e-06
1575498386.2568011,71,3.029176468771766e-06
1575498386.340157,74,3.019385530933505e-06
1575498386.8731468,94,2.9554196316894377e-06
1575498387.1053839,102,2.930345317508909e-06
1575498387.329581,106,2.9179348075558664e-06
1575498388.663051,126,2.8592928629223024e-06
1575498389.155537,139,2.8232138902239967e-06
1575498391.049459,150,2.7939820483879885e-06
1575498391.972209,155,2.780531303869793e-06
1575498392.442085,158,2.772387915683794e-06
1575498394.155705,167,2.748745373537531e-06
1575498395.2453709,178,2.7217679416935425e-06
1575498396.051498,183,2.7098938062408706e-06
1575498396.154112,185,2.705146698644967e-06
1575498396.2453818,186,2.7027872420148924e-06
1575498396.442345,190,2.69339057012985e-06
1575498396.946582,198,2.6745626655610977e-06
1575498397.71328,207,2.6537827579886653e-06
1575498397.8863518,212,2.6424734187457943e-06
1575498398.1928089,223,2.617882500999258e-06
1575498398.358592,229,2.6048317067761673e-06
1575498398.5130858,234,2.5942945285351016e-06
1575498398.925504,249,2.5642286800575675e-06
1575498399.077347,255,2.552427986302064e-06
1575498399.204876,260,2.5426670617889613e-06
1575498399.400264,267,2.529202902223915e-06
1575498399.610102,271,2.521740043448517e-06
1575498399.8384051,273,2.5179178919643164e-06
1575498401.425078,292,2.4836733700794866e-06
1575498401.599149,297,2.475044539096416e-06
1575498401.794464,303,2.464640147081809e-06
1575498401.964792,308,2.4557984943385236e-06
1575498402.022484,310,2.4523023967049085e-06
1575498402.288734,318,2.438408955640625e-06
1575498402.6753988,330,2.418167696305318e-06
1575498402.958218,339,2.403296321062953e-06
1575498403.1948109,347,2.3902603061287664e-06
1575498403.727263,363,2.364882902838872e-06
