Wall time,Step,Value
1580053082.165162,42,4.819250989385182e-06
1580053082.238773,45,4.805108801519964e-06
1580053082.926246,71,4.681688551499974e-06
1580053083.548928,94,4.5788860916218255e-06
1580053086.7590258,158,4.321997948864009e-06
1580053086.9855502,167,4.289338448870694e-06
1580053088.531224,229,4.07600919061224e-06
1580053088.651003,234,4.060432729602326e-06
1580053089.16565,255,3.996274244855158e-06
1580053089.64708,273,3.943673618778121e-06
1580053090.5015192,308,3.844716047751717e-06
1580053090.5495522,310,3.839278633677168e-06
1580053090.7439291,318,3.8180596675374545e-06
1580053093.311726,421,3.567687826944166e-06
1580053094.260771,460,3.4865993256971706e-06
1580053094.59811,474,3.4584411423566053e-06
1580053096.152878,536,3.342155423524673e-06
1580053097.27152,579,3.266450903538498e-06
1580053097.4418619,586,3.2548589388170512e-06
1580053098.6378748,634,3.179862687829882e-06
1580053098.956038,647,3.159829930154956e-06
1580053099.548137,671,3.125968987660599e-06
1580053100.584887,714,3.067752231800114e-06
1580053100.7788658,722,3.0571854949812405e-06
1580053102.259317,771,2.9978875772940228e-06
1580053102.606288,785,2.9816255846526474e-06
1580053103.026155,802,2.9622956390085164e-06
1580053103.171656,808,2.95571589958854e-06
1580053103.883732,836,2.925478156612371e-06
1580053106.575378,945,2.8176991690997966e-06
1580053107.225464,971,2.7934931949857855e-06
1580053108.326865,1014,2.7554513053473784e-06
1580053109.596693,1066,2.7131425213156035e-06
1580053110.554451,1104,2.683263119251933e-06
1580053112.441352,1180,2.6278949007974006e-06
1580053114.424683,1261,2.5745957827894017e-06
1580053115.807002,1316,2.5404931420780485e-06
1580053115.880577,1319,2.5386693778273184e-06
1580053116.234902,1333,2.5304314021923346e-06
1580053116.33098,1337,2.528107643229305e-06
1580053117.518141,1385,2.501192739146063e-06
1580053117.690078,1392,2.497263267287053e-06
1580053118.794546,1436,2.473525000823429e-06
1580053119.791944,1466,2.459088591422187e-06
1580053121.189263,1523,2.43295585278247e-06
