Wall time,Step,Value
1584053144.2136588,0,5304.05078125
1584053425.241451,1,5177.39599609375
1584053780.365651,2,5156.8369140625
1584054176.683497,3,5137.931640625
1584054523.45645,4,5133.36376953125
1584054891.921474,5,5124.849609375
1584055296.256216,6,5114.25927734375
1584055768.7269619,7,5109.2109375
1584056139.974831,8,5097.1787109375
1584056563.828114,9,5096.54443359375
1584056906.6784,10,5085.84619140625
1584057237.6525362,11,5083.857421875
1584057594.8879628,12,5078.943359375
1584057912.47598,13,5079.48046875
1584058179.015452,14,5079.0869140625
1584058481.5272279,15,5072.091796875
1584058783.913406,16,5066.13916015625
1584059073.484339,17,5067.578125
1584059393.120509,18,5060.6201171875
1584059741.716831,19,5058.9560546875
1584060058.178916,20,5055.17724609375
1584060414.241868,21,5057.2490234375
1584060803.9624882,22,5051.95166015625
1584061180.252156,23,5049.2392578125
1584061683.8100889,24,5044.94140625
1584062167.899037,25,5049.41943359375
1584062585.2166212,26,5041.099609375
1584063009.0283048,27,5044.37939453125
1584063498.2938828,28,5038.19189453125
1584063988.789739,29,5039.515625
1584064444.075723,30,5033.72412109375
1584064861.234593,31,5039.58349609375
1584065178.662546,32,5034.93359375
1584065602.20634,33,5034.32275390625
1584066007.354617,34,5032.77783203125
1584066312.043329,35,5030.89794921875
1584066698.3563688,36,5030.0791015625
1584067016.012841,37,5029.9619140625
1584067283.4026592,38,5026.17626953125
1584067601.3195589,39,5026.6630859375
1584067981.828674,40,5020.7724609375
1584068291.265205,41,5020.75439453125
1584068650.710728,42,5017.38671875
1584068960.171255,43,5013.1318359375
1584069296.110094,44,5022.279296875
1584069616.4096158,45,5017.65869140625
1584069999.070668,46,5018.55322265625
1584070378.3664021,47,5011.1513671875
1584070761.9617689,48,5012.5087890625
