Wall time,Step,Value
1584148426.6431801,0,1252.1429443359375
1584148849.1640892,1,1240.296875
1584149261.3516958,2,1236.0692138671875
1584149639.718577,3,1231.7786865234375
1584150184.788679,4,1229.6524658203125
1584150682.63958,5,1227.579833984375
1584151310.7648141,6,1223.7764892578125
1584151869.81038,7,1221.2603759765625
1584152522.782728,8,1217.566162109375
1584152934.767814,9,1215.9910888671875
1584153348.289531,10,1212.5150146484375
1584153704.9323342,11,1211.0445556640625
1584154108.1272929,12,1208.92919921875
1584154557.0076768,13,1208.033203125
1584154967.488218,14,1207.5782470703125
1584155390.395765,15,1204.9486083984375
1584155830.4176052,16,1201.9853515625
1584156236.390914,17,1201.75048828125
1584156640.7459688,18,1199.2103271484375
1584157043.305883,19,1197.928466796875
1584157485.7253928,20,1196.0780029296875
1584157981.624672,21,1195.7279052734375
1584158395.651288,22,1193.7181396484375
1584158815.995878,23,1191.8316650390625
1584159356.510832,24,1190.36572265625
1584159908.158952,25,1190.45166015625
1584160373.777311,26,1187.715576171875
1584160793.4079602,27,1187.846435546875
1584161181.595497,28,1185.989990234375
1584161568.783604,29,1185.211669921875
1584161987.7666051,30,1183.4031982421875
1584162398.383021,31,1183.758056640625
1584162817.0059211,32,1181.96240234375
1584163279.7587368,33,1181.3834228515625
1584163805.440462,34,1180.49072265625
1584164397.181681,35,1179.436767578125
1584164913.465906,36,1178.7777099609375
1584165347.636283,37,1178.01318359375
1584165685.105686,38,1176.8621826171875
1584166022.278215,39,1176.4261474609375
1584166360.884406,40,1174.8087158203125
1584166700.199787,41,1174.0631103515625
1584167037.4930491,42,1172.4481201171875
1584167374.754087,43,1171.2994384765625
1584167725.906521,44,1172.54638671875
1584168064.079774,45,1171.0408935546875
1584168402.0825028,46,1170.43505859375
1584168738.472755,47,1168.0894775390625
1584169075.0289059,48,1168.0902099609375
