Wall time,Step,Value
1583714304.8574378,0,2599.312255859375
1583714647.8078809,1,2431.991455078125
1583715354.2783282,0,9817.9365234375
1583715594.8531892,1,9628.08203125
1583715911.5623128,2,7703.0498046875
1583716302.752061,3,6962.89404296875
1583716708.973737,4,6851.8291015625
1583717081.560043,5,6572.25341796875
1583717507.7380722,6,6179.6376953125
1583717898.357155,7,5926.8544921875
1583718202.9734569,8,5751.9580078125
1583718481.430051,9,5626.3369140625
1583718759.6544058,10,5521.40625
1583719066.3309681,11,5439.8193359375
1583719383.113399,12,5373.810546875
1583719685.7983959,13,5328.62548828125
1583719974.7264159,14,5301.70947265625
1583720342.6665332,15,5271.95751953125
1583720563.713922,16,5252.0400390625
1583720783.583134,17,5242.654296875
1583720984.607755,18,5231.45068359375
1583721183.962465,19,5224.00830078125
1583721385.180512,20,5215.8330078125
1583721652.657536,21,5214.291015625
1583721989.326241,22,5206.96435546875
1583722347.461866,23,5204.146484375
1583722676.7413929,24,5196.2197265625
1583723005.027173,25,5199.73583984375
1583723349.268068,26,5192.82470703125
1583723653.5194418,27,5195.6435546875
1583723984.3682618,28,5188.322265625
1583724320.694637,29,5189.7802734375
1583724710.142882,30,5184.00390625
1583725045.507304,31,5188.95361328125
1583725257.483125,32,5183.96484375
1583725469.791563,33,5184.26611328125
1583725668.748214,34,5183.5546875
1583725869.75055,35,5182.564453125
1583726067.290236,36,5182.2587890625
1583726263.4801831,37,5181.25732421875
1583726459.66011,38,5178.58740234375
1583726656.7631319,39,5179.78466796875
1583726853.6361668,40,5174.65771484375
1583727049.4300191,41,5175.01220703125
1583727246.3667798,42,5172.54248046875
1583727443.826376,43,5166.7119140625
1583727640.739945,44,5177.1220703125
1583727836.68431,45,5174.84326171875
1583728034.273362,46,5173.40966796875
1583728234.0723882,47,5167.76171875
1583728436.015469,48,5169.7392578125
