nan
Al Pacino
Hype Williams
Doris Dörrie
Stephen Frears
Thom Eberhardt
Mike Mitchell
Peter Bogdanovich
John Landis
Mike Barker
Sarah Kernochan
Art Clokey
Brad Bird
Graham Baker
Stefan Schwietert
Mitch Marcus
René Bonnière
Tamra Davis
Allan A. Goldstein
Jonathan Darby
Steven Spielberg
Fred Schepisi
Martin Kitrosser
Otto Preminger
Roger Corman
Nana Dzhordzhadze
Martin Brest
Kevin Williamson
Steve Barron
Jean-Claude Van Damme
Paul Miller
George Cukor
Andy Cadiff
Nicholas Hytner
Jun Falkenstein
Jessie Nelson
Mike Hodges
R.J. Cutler
Rolf Silber
Ebrahim Forouzesh
Penelope Spheeris
René Clément
David Frankel
Sergio Leone
Goran Paskaljevic
Stephen Kay
Bill Couturié
Michael Herz
Ole Bornedal
Harold Whitaker
Bernard Rose
Lana Wachowski
Donald Petrie
George Waggner
Rick Roessler
Barnet Kellman
Rick Friedberg
Lee Tamahori
Michael Kreihsl
Lee David Zlotoff
Alejandro Amenábar
Reginald Le Borg
Michael Schultz
Gérard Mordillat
Mweze Ngangura
Irvin S. Yeaworth Jr.
John Woo
John Waters
Jake Kasdan
Irene von Alberti
Preston A. Whitmore II
Dave Fleischer
Bigas Luna
John Bruno
Dayna Goldfine
Kevin Hooks
Michael Rymer
Michael Verhoeven
David Lane
Jacques Martineau
John Payson
Luis Llosa
Ildikó Enyedi
Rowland V. Lee
Peter Hyams
Clyde Bruckman
Radley Metzger
Michael Moore
Albert Hughes
Tamara Jenkins
Scott Winant
Michael Cristofer
Tom Noonan
Satyajit Ray
Renée Taylor
John English
Ben Stiller
David Breashears
Alfred Hitchcock
James Edward Grant
Arthur Lubin
Vyacheslav Krishtofovich
John Forte
Phillip Noyce
Hugo Van Lawick
Agnès Merlet
Brett Piper
Robert Altman
Paul Murray
Vadim Jean
Bob Saget
Joe Johnston
Aviva Kempner
Winston Hibler
Jerry Zucker
Henry Selick
Yale Strom
Carl Reiner
Tony Richardson
Richard Lester
Greta Schiller
Anne Wheeler
Marcus DeLeon
Kayo Hatta
Daniel Schmid
Lance Hool
Robert Ellis Miller
Louis Morneau
Noel Black
Chuck Parello
Annette Haywood-Carter
Henry Koster
Werner Herzog
Peter Bonerz
Steve Miner
Michel Blanc
Andrew Marton
Mo Ogrodnik
Gray Hofmeyr
Michael Goetz
Jill Sprecher
Giuseppe Tornatore
Doug Ellin
Jim Goddard
David O. Russell
Paul W.S. Anderson
Jay Roach
Lars von Trier
Fernando Trueba
John Byrum
Paul Williams
David Seltzer
Peter Lord
Jim Drake
William Castle
Patrice Chéreau
Patrick Read Johnson
Mark Hanlon
James Wong
Nick Park
Hiroshi Inagaki
Jack Conway
Robert Dornhelm
Joe Chappelle
James F. Robinson
Val Guest
Jon Jost
Francis D. Lyon
Norman Ferguson
Cédric Klapisch
Aileen Ritchie
Frank Paur
Ken Wiederhorn
Gerald Potterton
François Ozon
John Carpenter
Sydney Pollack
Gregg Champion
Tod Browning
Aleksandar Popovski
Robert Siodmak
George Dunning
Ziad Doueiri
Chris Noonan
Fred F. Sears
Annabel Jankel
Garry Marshall
John Walsh
Richard W. Munchkin
Barry W. Blaustein
Philip Kaufman
Hugh Wilson
Jacques Doillon
Bruce Robinson
Rand Ravich
Bryan Forbes
André Charlot
Paul Brizzi
Vittorio De Sica
Jerry Zaks
Andrei Tarkovsky
John McTiernan
Kelli Herd
Max Mayer
Eric Leighton
Steven Hilliard Stern
Lionel C. Martin
Mimi Leder
Terry Hughes
Gerard Stembridge
Leonid Boyko
Brian Gibson
Mervyn LeRoy
Igor Kovalyov
Rob Epstein
Joe Dante
Joseph Sargent
Willard Huyck
Rob Sitch
Damiano Damiani
Jean Delannoy
Pino Van Lamsweerde
Paul Schrader
Michael Powell
Chris Roberts
Carl Schultz
Kimberly Peirce
Julian Henriques
Martine Dugowson
Jerry Lewis
James Merendino
Steven Lisberger
Keenen Ivory Wayans
Christopher Larkin
Christopher McQuarrie
Férid Boughedir
Barry J. Hershey
Deborah Warner
John McNaughton
Jason Freeland
Marco Ferreri
Joel Schumacher
Michael Seitzman
Paul Lynch
Tad Stones
Marcel L'Herbier
